SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4767.85,4832.05,4767.85,4789.80,4799.95,4745.45,1051,4570,21929918.00,
500003,AEGIS LOGIS ,A ,Q,378.50,392.50,375.55,389.85,389.85,377.85,3168,109350,42285284.00,
500008,ARE&M       ,A ,Q,753.95,768.00,753.95,759.40,759.40,752.00,4208,83194,63359530.00,
500009,A.SARABHAI  ,XT,Q,40.00,41.60,40.00,40.76,40.76,40.81,145,164842,6650864.00,
500012,ANDHRA PETRO,X ,Q,81.01,83.45,81.01,81.76,81.76,81.45,500,78225,6404445.00,
500013,ANSAL INFRAS,Z ,Q,12.90,12.90,12.10,12.90,12.90,12.29,75,207378,2666733.00,
500014,UTIQUE      ,X ,Q,6.69,6.90,6.44,6.65,6.65,6.50,228,38259,252934.00,
500016,ARUNAHTEL   ,X ,Q,16.34,16.94,15.50,15.85,16.19,16.34,90,19116,302508.00,
500020,BOM DYEING  ,A ,Q,156.35,158.70,156.05,156.60,156.60,156.35,2219,117325,18481907.00,
500023,ASIANHOTNR  ,T ,Q,232.00,232.00,222.05,222.05,222.05,223.40,4,228,50710.00,
500027,ATUL LTD.   ,A ,Q,6755.00,6811.00,6748.70,6793.20,6793.20,6751.30,370,1720,11679645.00,
500028,ATV PROJECTS,XT,Q,14.70,15.09,14.70,15.09,15.09,14.80,44,13566,201798.00,
500031,BAJAJ ELECT.,A ,Q,1016.05,1019.90,1005.40,1006.70,1008.95,1016.40,578,3489,3527732.00,
500032,BAJAJHIND   ,A ,Q,26.38,28.85,26.38,28.39,28.39,26.92,5506,3305645,92408970.00,
500033,FORCE MOTR  ,B ,Q,3808.25,3849.00,3780.00,3791.55,3791.55,3808.25,2175,18924,72215008.00,
500034,BAJFINANCE  ,A ,Q,7348.35,7350.25,7269.25,7292.95,7290.00,7306.85,1745,10160,74255204.00,
500038,BALRAM.CHINI,A ,Q,392.70,400.05,392.70,396.80,397.40,392.65,4450,226150,89796453.00,
500039,BANCO PROD. ,B ,Q,550.65,566.35,550.65,564.20,564.20,550.65,1477,29043,16224409.00,
500040,CENTURY TEXT,A ,Q,1306.85,1308.80,1269.15,1290.65,1290.65,1304.75,801,7470,9624909.00,
500041,BANNARI AMAN,B ,Q,2514.35,2519.90,2490.00,2499.45,2500.00,2498.15,54,184,460671.00,
500042,BASF INDIA  ,A ,Q,3005.80,3009.60,2988.85,2999.75,2989.00,3004.65,210,2295,6887625.00,
500043,BATA INDIA  ,A ,Q,1669.75,1687.00,1659.65,1668.20,1668.20,1664.95,2165,21125,35418684.00,
500048,BEML LTD    ,A ,Q,2478.15,2495.00,2432.25,2449.60,2449.60,2455.90,799,5665,13924287.00,
500049,BHARAT ELECT,A ,Q,160.30,163.25,159.45,161.20,161.20,158.70,6806,753847,121752833.00,
500052,BHANSALI ENG,B ,Q,94.54,95.90,93.71,94.41,94.41,94.54,2688,113065,10740148.00,
500058,BIHAR SPONGE,XT,Q,10.15,10.49,9.80,10.00,10.00,10.15,183,64693,648932.00,
500059,BINANI IND. ,T ,Q,16.09,16.09,15.60,15.70,15.70,15.80,15,13237,207809.00,
500060,BIRLACABLE  ,B ,Q,268.05,272.05,263.85,264.55,264.55,267.05,375,5687,1517822.00,
500067,BLUE STAR   ,A ,Q,1010.05,1010.05,991.10,997.35,997.35,1004.75,355,2037,2032803.00,
500068,DISA INDIA  ,B ,Q,14598.00,14599.90,14277.05,14452.85,14450.00,14414.00,29,117,1683585.00,
500069,QUESTCAP    ,X ,Q,289.95,310.00,284.50,308.10,309.95,287.80,160,12916,3939807.00,
500074,BPL LTD.    ,T ,Q,82.00,82.87,82.00,82.87,82.87,81.25,28,4555,376216.00,
500078,OAL         ,B ,Q,385.00,385.00,346.15,353.70,355.40,347.75,105,735,260146.00,
500083,CENTURY EXT ,B ,Q,18.59,19.25,17.97,18.72,18.74,18.00,684,121188,2258481.00,
500084,CESC LTD.   ,A ,Q,120.99,121.64,117.55,118.11,118.11,119.99,2661,270620,32296367.00,
500085,CHAMBAL FERT,A ,Q,343.55,350.00,342.00,348.20,350.00,341.75,1918,91679,31804450.00,
500086,EXIDE IND.  ,A ,Q,291.05,294.35,290.45,293.35,293.35,289.85,1747,59641,17468462.00,
500087,CIPLA LTD.  ,A ,Q,1218.85,1218.85,1195.15,1202.60,1202.60,1219.35,4389,54637,65712166.00,
500089,DIC INDIA   ,B ,Q,518.15,522.60,491.20,520.00,520.40,495.80,287,1356,697600.00,
500092,CRISIL LTD  ,A ,Q,4250.00,4261.85,4210.20,4234.95,4243.55,4237.75,416,1052,4449851.00,
500093,CGPOWER     ,A ,Q,455.40,455.55,446.60,451.55,452.00,454.80,1876,64086,28887144.00,
500096,DABUR (I)   ,A ,Q,548.65,551.30,545.00,550.50,550.50,547.55,3011,64402,35332662.00,
500097,DALMIASUG   ,B ,Q,395.25,405.00,392.30,403.40,403.20,392.40,1284,21215,8484065.00,
500101,ARVIND Ltd  ,A ,Q,226.00,227.90,222.05,222.80,222.80,225.10,1834,70236,15725976.00,
500103,BHEL        ,A ,Q,177.50,181.45,176.80,179.75,179.75,176.75,14570,1923280,345358762.00,
500104,HIND.PETRO  ,A ,Q,380.00,382.10,358.50,361.00,361.00,377.45,5535,412233,151113612.00,
500106,IFCI LTD    ,A ,Q,27.33,28.80,27.15,28.29,28.29,27.15,9865,7773852,219058154.00,
500108,MAHA.TELE   ,A ,Q,30.33,31.50,30.33,30.91,30.91,30.44,2148,736689,22809063.00,
500109,MRPL        ,A ,Q,128.40,129.05,126.15,126.60,126.60,128.05,2649,214137,27324115.00,
500110,CHENNAI PET.,A ,Q,685.25,695.05,663.00,670.55,670.55,679.95,1830,42330,28882506.00,
