SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4305.20,4305.20,4234.15,4244.45,4250.70,4249.55,334,1183,5034006.00,
500003,AEGIS LOGIS ,A ,Q,340.05,350.95,340.05,349.15,346.75,344.30,1100,35210,12231122.00,
500008,ARE&M       ,A ,Q,708.80,709.00,688.50,695.20,695.55,700.20,1478,38776,26996875.00,
500009,A.SARABHAI  ,XT,Q,42.74,43.12,42.74,43.10,43.10,43.61,179,194301,8335397.00,
500012,ANDHRA PETRO,X ,Q,80.34,84.00,80.00,80.71,80.71,80.33,556,97832,7982392.00,
500014,UTIQUE      ,X ,Q,6.51,6.70,6.39,6.43,6.44,6.49,180,130059,836003.00,
500016,ARUNAHTEL   ,X ,Q,15.68,16.25,15.22,16.08,16.24,16.00,79,13469,215340.00,
500020,BOM DYEING  ,A ,Q,168.80,168.80,160.20,161.55,161.80,166.35,2974,257854,41994145.00,
500023,ASIANHOTNR  ,T ,Q,218.00,223.00,215.80,222.90,223.00,218.00,10,650,142658.00,
500027,ATUL LTD.   ,A ,Q,6566.20,6648.00,6543.15,6639.35,6640.00,6529.50,135,653,4314905.00,
500028,ATV PROJECTS,XT,Q,15.24,15.24,15.24,15.24,15.24,15.55,41,12703,193593.00,
500031,BAJAJ ELECT.,A ,Q,995.05,1000.10,989.05,994.10,997.45,994.05,363,2799,2777018.00,
500032,BAJAJHIND   ,A ,Q,32.12,32.49,31.25,31.40,31.40,32.05,5602,1929147,61147943.00,
500033,FORCE MOTR  ,B ,Q,4030.00,4130.00,3996.00,4103.10,4103.10,3995.70,3961,33168,134708961.00,
500034,BAJFINANCE  ,A ,Q,7130.05,7169.90,7115.00,7129.75,7129.75,7126.15,2115,12532,89393372.00,
500038,BALRAM.CHINI,A ,Q,469.05,476.00,467.40,473.55,473.55,468.40,3305,116944,55139814.00,
500039,BANCO PROD. ,B ,Q,570.30,580.00,560.50,563.20,564.75,569.20,954,12973,7356916.00,
500040,CENTURY TEXT,A ,Q,1253.95,1256.10,1226.55,1248.35,1248.00,1234.00,1214,12138,15120585.00,
500041,BANNARI AMAN,B ,Q,2489.90,2523.70,2460.00,2479.25,2479.25,2487.90,117,519,1293562.00,
500042,BASF INDIA  ,A ,Q,2952.00,2969.95,2932.60,2949.20,2940.75,2948.50,280,852,2513696.00,
500043,BATA INDIA  ,A ,Q,1620.55,1641.35,1599.65,1612.05,1612.05,1617.15,1277,13397,21824169.00,
500048,BEML LTD    ,A ,Q,2477.95,2477.95,2406.05,2449.45,2449.45,2434.65,467,2767,6726533.00,
500049,BHARAT ELECT,A ,Q,142.35,142.65,140.55,141.00,141.00,141.35,6220,553097,78058398.00,
500052,BHANSALI ENG,B ,Q,94.89,95.86,93.60,93.77,93.77,94.74,1810,78373,7398962.00,
500058,BIHAR SPONGE,XT,Q,10.54,10.65,10.22,10.52,10.60,10.35,148,79916,842942.00,
500059,BINANI IND. ,T ,Q,17.03,17.03,16.70,16.70,16.70,17.04,2,2050,34268.00,
500060,BIRLACABLE  ,B ,Q,266.10,268.00,259.00,262.55,262.55,266.10,1498,29984,7898140.00,
500067,BLUE STAR   ,A ,Q,1006.65,1012.50,981.65,986.50,986.50,993.85,783,4276,4233395.00,
500068,DISA INDIA  ,B ,Q,12755.00,13700.00,12755.00,13677.25,13650.00,13091.45,75,219,2945715.00,
500069,QUESTCAP    ,X ,Q,292.00,302.00,280.00,285.10,285.90,286.30,65,2715,787634.00,
500074,BPL LTD.    ,T ,Q,87.60,89.28,87.60,89.28,89.28,87.56,34,6511,578572.00,
500078,OAL         ,B ,Q,352.10,367.50,348.05,360.10,359.85,350.45,453,2927,1055577.00,
500083,CENTURY EXT ,T ,Q,18.00,18.00,17.25,17.43,17.43,17.68,204,37159,651123.00,
500084,CESC LTD.   ,A ,Q,97.01,100.23,97.01,99.00,99.00,96.75,4536,686742,67815845.00,
500085,CHAMBAL FERT,A ,Q,317.45,322.90,314.85,319.00,318.65,314.35,2110,109438,34916029.00,
500086,EXIDE IND.  ,A ,Q,286.40,286.40,283.45,284.85,285.15,283.00,1774,56693,16146834.00,
500087,CIPLA LTD.  ,A ,Q,1194.55,1205.90,1191.75,1201.90,1203.55,1192.05,2764,72127,86629873.00,
500089,DIC INDIA   ,B ,Q,431.95,436.05,428.00,430.40,429.20,434.50,39,157,68074.00,
500092,CRISIL LTD  ,A ,Q,4352.95,4352.95,4270.65,4289.30,4288.00,4315.65,464,1654,7124485.00,
500093,CGPOWER     ,A ,Q,431.55,449.50,429.00,439.15,439.15,431.50,6801,317767,139456191.00,
500096,DABUR (I)   ,A ,Q,535.00,536.10,531.80,534.90,535.75,533.70,967,24684,13178688.00,
500097,DALMIASUG   ,B ,Q,456.00,467.05,450.05,458.75,458.75,454.95,1974,31236,14323836.00,
500101,ARVIND Ltd  ,A ,Q,213.85,218.25,213.55,216.40,216.40,213.80,1253,66259,14337415.00,
500103,BHEL        ,A ,Q,160.55,166.00,158.30,165.15,165.15,156.15,33018,5175099,838939257.00,
500104,HIND.PETRO  ,A ,Q,339.90,350.95,337.15,342.70,342.70,342.90,8476,713302,246061980.00,
500106,IFCI LTD    ,A ,Q,24.99,26.65,24.90,25.24,25.24,24.75,12166,9892946,254493136.00,
500108,MAHA.TELE   ,A ,Q,27.72,29.38,27.72,28.51,28.51,27.72,3719,1390204,40108027.00,
500109,MRPL        ,A ,Q,122.50,126.10,120.15,121.55,121.55,121.15,3905,555525,68571514.00,
500110,CHENNAI PET.,A ,Q,643.50,649.70,627.65,632.30,632.30,638.55,4674,137719,88088087.00,
500112,STATE BANK  ,A ,Q,567.30,569.00,565.05,568.50,568.50,564.55,13542,648986,368309505.00,
500113,STEEL AUTH. ,A ,Q,91.40,92.17,90.91,91.18,91.18,90.93,6938,2367367,216017107.00,
500114,TITAN       ,A ,Q,3455.00,3470.00,3423.60,3427.25,3425.05,3442.05,1309,9702,33361826.00,
500116,IDBI BANK L ,A ,Q,62.03,62.70,61.87,62.07,62.07,61.78,1500,289447,17998953.00,
500117,DCW LTD.    ,A ,Q,52.28,52.64,51.82,51.97,51.97,51.85,674,119731,6251099.00,
500119,DHAMPUR SUGA,A ,Q,274.75,274.75,269.00,270.75,270.75,271.15,1236,36952,10011245.00,
500120,DIAMINES&CHM,B ,Q,522.05,525.45,510.00,522.65,524.00,525.85,490,2837,1463853.00,
500123,ELANTAS     ,B ,Q,7715.05,7788.00,7700.00,7776.70,7780.00,7669.70,72,300,2327336.00,
500124,DR.REDDY'S  ,A ,Q,5700.00,5742.45,5654.55,5715.55,5719.85,5671.25,782,6726,38366548.00,
500125,E.I.D.PAR   ,A ,Q,538.95,542.20,526.50,529.35,529.65,534.90,1195,37986,20240206.00,
500126,PGHL        ,A ,Q,5172.85,5224.00,5113.40,5139.00,5125.80,5173.90,306,1510,7816423.00,
500128,ELEC.CASTING,A ,Q,114.84,116.69,113.50,115.13,115.05,113.79,2109,184466,21232577.00,
500133,ESAB INDIA  ,A ,Q,6032.45,6068.85,5858.00,5922.50,5905.15,6032.45,370,959,5716891.00,
500135,EPL         ,A ,Q,196.85,199.25,195.40,195.85,196.00,196.90,1001,36101,7107941.00,
500136,ESTER INDUS.,B ,Q,83.89,94.95,83.89,92.42,92.42,83.53,2876,124418,11299925.00,
500142,FGP LTD.    ,X ,Q,6.03,6.33,5.86,5.86,5.86,6.04,16,2481,15330.00,
500143,P.H.CAPITAL ,X ,Q,93.90,93.90,87.08,87.71,87.71,91.66,47,2312,202554.00,
500144,FINOL. CABLE,A ,Q,964.95,964.95,946.10,958.95,959.00,948.85,2102,45811,43743481.00,
500147,COCKERILL   ,X ,Q,2952.50,2996.90,2930.00,2944.50,2944.50,2947.80,238,2021,5968729.00,
500148,UFLEX LTD   ,A ,Q,447.00,461.10,445.05,455.20,455.20,444.40,440,5847,2646970.00,
500150,FOSECO INDIA,B ,Q,3531.10,3531.10,3491.00,3491.00,3491.00,3509.15,9,12,42139.00,
500151,GOLDEN TOB  ,Z ,Q,51.07,52.50,50.60,50.60,50.60,51.07,10,872,44447.00,
500153,GANESH BENZO,B ,Q,168.50,173.90,168.50,170.00,169.60,166.80,1191,60989,10497512.00,
500159,METROGLOBL  ,X ,Q,105.85,105.85,102.00,104.70,104.85,102.80,121,6380,663147.00,
500160,GTL LTD.    ,T ,Q,7.90,7.90,7.83,7.83,7.83,7.97,69,25845,203661.00,
500163,GODFREY PH  ,A ,Q,2018.05,2035.65,2011.00,2023.80,2023.80,2017.40,304,2193,4431443.00,
500164,GODREJ IND  ,A ,Q,665.05,668.05,654.95,657.40,657.40,669.15,335,4472,2956210.00,
500165,KANSAI NERO ,A ,Q,322.20,325.80,319.35,320.15,320.15,322.15,319,3980,1281651.00,
500166,GOODRICKE   ,X ,Q,189.00,190.75,188.10,189.60,189.60,188.10,61,2811,532266.00,
500168,GOODYEAR (I),B ,Q,1303.05,1318.00,1303.05,1312.95,1312.95,1307.15,632,8582,11250367.00,
500170,GTN INDUS   ,X ,Q,38.50,39.95,37.10,38.59,39.00,39.25,59,3618,139361.00,
500171,GHCL LTD    ,A ,Q,542.00,545.15,537.35,541.05,544.00,540.35,998,13261,7201120.00,
500173,GFLLIMITED  ,B ,Q,99.51,99.95,96.70,97.24,97.58,98.75,459,24637,2419890.00,
500174,GUJ.LEASE   ,B ,Q,3.95,4.00,3.95,3.95,3.95,4.00,6,3322,13122.00,
500179,HCL INFOSYS ,B ,Q,17.09,17.19,16.86,16.99,16.99,16.94,959,207772,3526696.00,
500180,HDFC BANK   ,A ,Q,1533.20,1562.50,1533.20,1559.25,1559.25,1529.60,24525,623499,966188768.00,
500182,HEROMOTOCO  ,A ,Q,3630.00,3788.40,3625.05,3745.75,3745.75,3622.25,6146,49158,183131418.00,
500183,HFCL        ,A ,Q,67.17,68.70,66.53,66.82,66.82,66.69,1541,259601,17537269.00,
500184,HSCL        ,A ,Q,263.50,267.00,261.20,263.00,263.00,263.45,4898,144233,38051001.00,
500185,HIND.CONSTN.,A ,Q,30.30,30.83,29.22,29.42,29.42,30.33,5423,3723284,111612349.00,
500186,HIND.OIL EXP,A ,Q,161.95,162.30,159.65,161.80,161.80,158.80,1650,117610,18941053.00,
500187,AGI         ,A ,Q,989.95,989.95,952.90,955.95,957.00,974.85,1444,12465,12013194.00,
500188,HINDUS.ZI   ,A ,Q,301.55,303.15,299.00,299.65,300.00,300.65,1818,38336,11515618.00,
500189,NDLVENTURE  ,B ,Q,155.50,155.75,147.45,150.45,150.45,158.35,276,10959,1640339.00,
500191,HMT LTD.    ,Z ,Q,49.69,49.69,48.70,49.34,49.34,48.72,77,18951,939116.00,
500192,PRAG BOSIMI ,X ,Q,2.95,2.95,2.78,2.87,2.87,2.86,40,8798,25065.00,
500193,HLVLTD      ,B ,Q,21.84,22.15,21.47,21.68,21.72,21.64,709,43732,948040.00,
500199,I.G.PETRO   ,B ,Q,445.45,449.10,443.50,444.60,443.50,445.90,348,3369,1501898.00,
500201,IND.GLYCOLS ,A ,Q,721.05,745.35,721.05,724.65,724.40,731.05,311,3727,2720826.00,
500202,IND.LEAS.DEV,X ,Q,8.28,8.28,7.51,7.79,7.97,7.90,17,1366,10586.00,
