SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4444.90,4680.00,4444.90,4622.75,4622.75,4386.70,3112,18486,84964382.00,
500003,AEGIS LOGIS ,A ,Q,371.05,374.80,361.35,363.00,363.00,369.45,3381,104727,38417178.00,
500008,ARE&M       ,A ,Q,785.05,790.00,764.00,768.00,768.00,768.65,3530,108507,84295708.00,
500009,A.SARABHAI  ,XT,Q,41.11,41.11,40.77,40.77,40.77,41.60,123,46004,1880393.00,
500012,ANDHRA PETRO,X ,Q,79.26,80.29,76.55,77.83,77.83,79.06,847,117350,9251904.00,
500013,ANSAL INFRAS,Z ,Q,9.89,10.13,9.33,10.13,10.13,9.65,137,170938,1690476.00,
500014,UTIQUE      ,X ,Q,6.65,6.65,6.43,6.49,6.50,6.48,166,60147,389040.00,
500016,ARUNAHTEL   ,X ,Q,16.30,16.55,15.50,16.48,16.55,16.13,100,81760,1330830.00,
500020,BOM DYEING  ,A ,Q,154.50,157.20,152.25,153.60,153.75,152.85,2982,215119,33142367.00,
500023,ASIANHOTNR  ,T ,Q,239.60,239.60,227.50,231.00,231.00,234.90,17,1040,239113.00,
500027,ATUL LTD.   ,A ,Q,6670.00,6830.20,6630.00,6741.80,6758.00,6651.00,358,971,6545784.00,
500028,ATV PROJECTS,XT,Q,14.93,14.93,14.36,14.93,14.93,14.65,58,24709,366806.00,
500031,BAJAJ ELECT.,A ,Q,1010.20,1021.00,1005.75,1008.70,1006.05,997.10,421,4391,4453687.00,
500032,BAJAJHIND   ,A ,Q,31.94,33.99,31.48,33.31,33.31,31.36,11732,5354153,176499651.00,
500033,FORCE MOTR  ,B ,Q,4199.00,4250.00,4105.00,4177.20,4177.20,4087.55,3378,42116,176225823.00,
500034,BAJFINANCE  ,A ,Q,7350.00,7420.00,7318.50,7404.80,7404.80,7256.15,6468,47815,353288657.00,
500038,BALRAM.CHINI,A ,Q,475.05,479.40,467.65,468.35,470.00,471.40,1071,41129,19380761.00,
500039,BANCO PROD. ,B ,Q,568.90,576.05,550.00,552.25,555.45,559.40,1740,23539,13153216.00,
500040,CENTURY TEXT,A ,Q,1302.25,1326.00,1284.05,1321.30,1320.35,1274.50,797,7458,9763686.00,
500041,BANNARI AMAN,B ,Q,2505.05,2530.00,2505.05,2523.60,2530.00,2503.35,46,128,322518.00,
