SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4740.10,4785.65,4699.20,4742.00,4742.00,4740.10,1232,5751,27229271.00,
500003,AEGIS LOGIS ,A ,Q,358.90,378.65,354.50,375.65,376.00,357.45,4082,92064,33971830.00,
500008,ARE&M       ,A ,Q,750.05,773.00,750.05,763.45,763.45,751.55,5889,132675,101677412.00,
500009,A.SARABHAI  ,XT,Q,41.61,41.61,41.60,41.60,41.60,40.80,113,115510,4806286.00,
500012,ANDHRA PETRO,X ,Q,79.99,83.00,79.94,82.15,82.15,79.94,818,180847,14735270.00,
500013,ANSAL INFRAS,Z ,Q,11.71,11.71,11.71,11.71,11.71,11.16,14,6057,70927.00,
500014,UTIQUE      ,X ,Q,6.50,6.50,6.39,6.40,6.41,6.44,131,50207,322152.00,
500016,ARUNAHTEL   ,X ,Q,16.70,17.50,16.30,16.98,16.98,16.53,105,25847,439033.00,
500020,BOM DYEING  ,A ,Q,153.05,158.85,152.55,156.20,156.20,153.45,2340,198479,30836911.00,
500023,ASIANHOTNR  ,T ,Q,228.00,228.00,217.40,227.20,227.20,228.70,11,178,39493.00,
500027,ATUL LTD.   ,A ,Q,6849.95,6920.00,6805.05,6871.75,6871.75,6830.80,224,808,5551111.00,
500028,ATV PROJECTS,XT,Q,15.21,15.21,14.80,14.80,14.80,14.93,42,24885,371030.00,
500031,BAJAJ ELECT.,A ,Q,1025.00,1031.00,1017.00,1020.15,1017.00,1019.05,346,2729,2791573.00,
500032,BAJAJHIND   ,A ,Q,29.00,30.55,28.00,29.15,29.15,30.32,19221,10075440,293476642.00,
500033,FORCE MOTR  ,B ,Q,3984.00,4041.45,3845.00,3881.00,3881.00,3965.05,4227,46484,183720297.00,
500034,BAJFINANCE  ,A ,Q,7399.95,7439.50,7325.00,7394.30,7394.30,7426.50,1993,21039,155595662.00,
