SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4230.10,4296.00,4230.10,4280.50,4280.50,4228.80,663,3833,16364796.00,
500003,AEGIS LOGIS ,A ,Q,322.75,325.20,322.10,323.15,323.60,321.30,317,8083,2618596.00,
500008,AMAR RAJA BA,A ,Q,645.95,645.95,638.00,638.75,638.75,647.30,1291,21113,13522006.00,
500009,A.SARABHAI  ,XT,Q,45.58,45.58,44.05,44.90,44.90,44.69,305,768005,34536730.00,
500012,ANDHRA PETRO,X ,Q,84.49,84.98,80.20,81.12,81.12,83.51,737,144158,11748151.00,
500013,ANSAL INFRAS,T ,Q,13.59,13.59,13.59,13.59,13.59,14.30,23,21484,291967.00,
500014,UTIQUE      ,X ,Q,6.28,6.41,6.21,6.33,6.31,6.28,169,41233,260329.00,
500016,ARUNAHTEL   ,X ,Q,17.24,17.24,16.30,16.50,16.50,16.72,65,2067,34416.00,
500020,BOM DYEING  ,A ,Q,154.00,155.00,150.70,151.70,151.95,153.20,1750,106224,16156799.00,
500023,ASIANHOTNR  ,B ,Q,159.95,175.00,158.85,165.55,164.00,160.95,727,14195,2352865.00,
500027,ATUL LTD.   ,A ,Q,6900.05,6961.40,6850.45,6867.30,6867.30,6942.90,628,1726,11890265.00,
500028,ATV PROJECTS,XT,Q,15.10,15.10,14.81,14.81,14.81,15.11,37,10446,155461.00,
500031,BAJAJ ELECT.,A ,Q,1167.95,1167.95,1074.00,1086.00,1086.00,1072.20,2780,41997,46923413.00,
500032,BAJAJHIND   ,A ,Q,26.27,27.25,25.70,26.05,26.05,25.85,10576,8589038,226828010.00,
500033,FORCE MOTR  ,B ,Q,3928.00,3930.00,3805.30,3832.85,3820.55,3928.00,818,3073,11864410.00,
500034,BAJFINANCE  ,A ,Q,8040.00,8069.80,7985.55,8032.75,8032.75,8049.70,2982,18315,146994739.00,
500038,BALRAM.CHINI,A ,Q,416.80,430.00,416.80,423.60,423.60,416.80,2155,96077,40882901.00,
500039,BANCO PROD. ,B ,Q,488.95,490.00,476.50,481.70,484.45,486.45,1050,12652,6086558.00,
500040,CENTURY TEXT,A ,Q,1164.55,1190.35,1164.55,1187.00,1187.40,1181.40,289,3675,4344733.00,
500041,BANNARI AMAN,B ,Q,2734.95,2734.95,2578.55,2607.10,2604.20,2578.55,14,25,65336.00,
500042,BASF INDIA  ,A ,Q,2611.95,2611.95,2574.60,2592.85,2587.30,2594.15,79,313,809733.00,
500043,BATA INDIA  ,A ,Q,1625.00,1644.60,1616.65,1629.90,1633.45,1624.15,363,1925,3137874.00,
500048,BEML LTD    ,A ,Q,2319.45,2440.00,2300.05,2419.90,2419.90,2293.95,1471,14919,35742382.00,
500049,BHARAT ELECT,A ,Q,137.25,137.85,136.65,137.35,137.35,137.30,2571,317930,43645139.00,
