SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4109.95,4178.00,4079.40,4166.00,4166.00,4077.50,1614,8409,34786480.00,
500003,AEGIS LOGIS ,A ,Q,290.55,299.95,280.00,282.95,282.95,288.80,3440,137289,39279957.00,
500008,ARE&M       ,A ,Q,622.05,624.75,618.55,621.00,621.00,618.15,2497,26671,16569888.00,
500009,A.SARABHAI  ,XT,Q,37.85,37.85,37.23,37.23,37.23,37.98,100,23855,891613.00,
500012,ANDHRA PETRO,X ,Q,81.90,82.00,80.00,80.51,80.90,80.53,370,59162,4783959.00,
500014,UTIQUE      ,X ,Q,6.24,6.24,6.05,6.17,6.20,6.14,126,57579,354069.00,
500016,ARUNAHTEL   ,X ,Q,14.99,15.31,14.68,14.77,14.95,14.68,89,19680,294256.00,
500020,BOM DYEING  ,A ,Q,162.75,163.85,156.05,156.65,156.65,161.95,3269,423216,67783847.00,
500023,ASIANHOTNR  ,B ,Q,193.35,193.35,193.35,193.35,193.35,184.15,20,1813,350543.00,
500027,ATUL LTD.   ,A ,Q,6324.70,6473.45,6283.45,6450.50,6426.00,6182.55,1102,3057,19531061.00,
500028,ATV PROJECTS,XT,Q,12.25,12.25,12.25,12.25,12.25,12.50,83,60822,745069.00,
500031,BAJAJ ELECT.,A ,Q,1042.25,1050.50,1033.75,1041.90,1040.00,1039.50,343,1454,1514521.00,
500032,BAJAJHIND   ,A ,Q,29.01,30.99,28.50,29.26,29.26,28.85,16402,11141895,333762533.00,
500033,FORCE MOTR  ,B ,Q,3475.00,3612.60,3475.00,3587.00,3587.00,3440.90,3325,32294,115255860.00,
500034,BAJFINANCE  ,A ,Q,7530.00,7534.95,7375.15,7420.20,7420.20,7452.90,11246,72071,535181190.00,
500038,BALRAM.CHINI,A ,Q,428.00,429.90,420.55,421.45,421.45,425.20,1474,53901,22946773.00,
500039,BANCO PROD. ,B ,Q,465.00,470.00,457.10,462.30,460.55,461.10,4969,61950,28627963.00,
500040,CENTURY TEXT,A ,Q,1096.60,1103.95,1067.05,1071.50,1070.30,1091.20,419,7083,7666316.00,
500041,BANNARI AMAN,B ,Q,2541.40,2550.00,2510.85,2548.35,2550.00,2518.00,55,180,456310.00,
500042,BASF INDIA  ,A ,Q,2542.25,2558.80,2537.45,2549.50,2544.80,2538.30,171,638,1627330.00,
500043,BATA INDIA  ,A ,Q,1578.40,1585.45,1569.25,1575.80,1573.00,1573.45,802,3382,5334181.00,
500048,BEML LTD    ,A ,Q,2065.65,2078.85,2050.00,2059.20,2059.20,2058.05,833,5326,10984090.00,
500049,BHARAT ELECT,A ,Q,135.05,136.90,134.80,135.90,135.90,134.80,4856,437235,59426363.00,
500052,BHANSALI ENG,B ,Q,87.11,88.64,87.02,87.73,87.73,86.42,982,41852,3669262.00,
500058,BIHAR SPONGE,XT,Q,9.84,10.24,9.84,9.90,9.86,9.98,129,18420,183694.00,
500059,BINANI IND. ,T ,Q,14.99,14.99,14.09,14.55,14.55,14.35,5,890,12990.00,
500060,BIRLACABLE  ,B ,Q,278.30,285.95,277.25,277.80,277.80,291.80,1582,39077,10963435.00,
500067,BLUE STAR   ,A ,Q,927.00,979.95,920.65,972.00,969.50,927.60,3594,41350,39535678.00,
500068,DISA INDIA  ,B ,Q,13300.00,13300.00,13160.25,13279.35,13299.50,13075.45,45,112,1487891.00,
500069,QUESTCAP    ,X ,Q,284.00,284.00,273.60,273.75,273.75,279.95,31,1189,328000.00,
500074,BPL LTD.    ,T ,Q,82.10,84.50,82.00,82.43,82.30,83.49,147,11264,934855.00,
500078,OAL         ,B ,Q,328.00,339.55,328.00,339.00,338.90,335.95,104,580,195363.00,
500083,CENTURY EXT ,T ,Q,15.59,16.00,15.45,15.88,15.88,15.61,153,39356,619274.00,
500084,CESC LTD.   ,A ,Q,86.76,87.84,86.00,86.12,86.11,86.69,624,91206,7903321.00,
500085,CHAMBAL FERT,A ,Q,286.25,289.20,282.00,286.80,286.80,286.20,4221,226528,64803919.00,
500086,EXIDE IND.  ,A ,Q,258.60,258.80,255.65,256.05,256.60,257.90,1217,41409,10646366.00,
500087,CIPLA LTD.  ,A ,Q,1214.00,1219.15,1204.50,1206.15,1206.15,1208.55,1620,21066,25540742.00,
500089,DIC INDIA   ,B ,Q,417.00,426.00,417.00,417.40,417.40,414.75,14,62,26353.00,
500092,CRISIL LTD  ,A ,Q,4060.05,4216.05,4060.00,4196.95,4160.00,4038.75,1416,2768,11575422.00,
500093,CGPOWER     ,A ,Q,387.95,387.95,378.00,380.30,380.30,383.35,1186,36916,14039700.00,
500096,DABUR (I)   ,A ,Q,534.65,537.95,531.70,535.05,535.05,530.40,3286,69110,36972125.00,
500097,DALMIASUG   ,B ,Q,458.15,471.15,447.00,453.05,450.85,454.20,1115,19142,8832903.00,
500101,ARVIND Ltd  ,A ,Q,200.80,207.35,200.55,205.30,205.30,199.00,3191,188760,38654528.00,
500103,BHEL        ,A ,Q,129.25,132.45,128.05,128.55,128.55,128.00,9675,1463315,190117777.00,
500104,HIND.PETRO  ,A ,Q,256.30,259.85,255.00,257.55,257.55,255.15,1215,64247,16562469.00,
500106,IFCI LTD    ,A ,Q,22.73,23.85,22.39,23.62,23.62,22.51,5085,5395089,125570325.00,
500108,MAHA.TELE   ,A ,Q,28.44,28.89,27.50,28.12,28.15,28.02,814,464243,13164838.00,
500109,MRPL        ,A ,Q,105.00,114.60,105.00,109.70,109.70,104.25,13456,2491936,278224387.00,
500110,CHENNAI PET.,A ,Q,588.35,616.40,588.35,592.75,592.75,584.25,4580,148235,89122768.00,
500111,REL.CAP.    ,T ,Q,10.28,10.33,10.26,10.33,10.33,9.84,248,414504,4269522.00,
500112,STATE BANK  ,A ,Q,576.00,579.25,573.45,578.15,578.15,571.90,20871,1406672,812859859.00,
500113,STEEL AUTH. ,A ,Q,86.39,86.39,84.00,84.54,84.54,85.03,2220,410148,34887261.00,
500114,TITAN       ,A ,Q,3214.00,3286.70,3210.00,3272.55,3272.55,3201.30,11220,113452,369660189.00,
500116,IDBI BANK L ,A ,Q,63.29,63.29,61.95,62.11,62.11,62.46,1963,332920,20820803.00,
500117,DCW LTD.    ,A ,Q,55.34,55.84,54.90,55.25,55.00,54.87,786,81408,4507323.00,
500119,DHAMPUR SUGA,A ,Q,261.05,265.40,256.90,257.85,257.95,259.45,687,14586,3800846.00,
500120,DIAMINES&CHM,B ,Q,485.05,493.35,485.05,485.90,489.25,489.35,270,2171,1064548.00,
500123,ELANTAS     ,B ,Q,7889.75,7889.75,7660.05,7801.40,7850.00,7772.55,79,1190,9227694.00,
500124,DR.REDDY'S  ,A ,Q,5389.35,5389.35,5246.80,5261.05,5275.20,5334.35,1459,8011,42357999.00,
500125,E.I.D.PAR   ,A ,Q,475.00,482.75,470.00,478.40,478.50,469.90,1646,33142,15839485.00,
500126,PGHL        ,A ,Q,5070.15,5145.60,5070.15,5134.80,5145.60,5079.95,31,80,409745.00,
500128,ELEC.CASTING,A ,Q,91.19,92.90,88.90,90.10,89.90,89.06,2421,481773,43755513.00,
500133,ESAB INDIA  ,A ,Q,5933.35,6054.10,5925.00,6035.95,6054.00,5907.00,193,613,3676855.00,
500135,EPL         ,A ,Q,192.45,198.05,188.50,189.50,190.15,190.35,2421,66814,12960344.00,
500136,ESTER INDUS.,B ,Q,91.00,92.05,91.00,91.45,91.69,91.05,25,410,37545.00,
500142,FGP LTD.    ,XT,Q,5.51,5.51,5.50,5.50,5.50,5.25,6,447,2458.00,
500143,P.H.CAPITAL ,XT,Q,69.50,72.65,69.50,72.52,72.63,69.20,4,41,2882.00,
500144,FINOL. CABLE,A ,Q,913.95,922.90,903.85,909.80,908.00,908.05,653,8263,7516150.00,
500147,COCKERILL   ,X ,Q,2856.40,2919.90,2825.05,2894.75,2894.75,2816.90,271,3001,8648340.00,
500148,UFLEX LTD   ,A ,Q,428.00,438.10,427.65,435.45,434.30,425.35,350,4399,1899878.00,
500150,FOSECO INDIA,B ,Q,3421.40,3450.70,3374.05,3383.45,3374.05,3424.50,15,39,133192.00,
500151,GOLDEN TOB  ,Z ,Q,51.40,51.40,50.14,50.90,50.90,51.36,3,113,5668.00,
500153,GANESH BENZO,B ,Q,143.05,143.75,140.05,140.60,140.75,142.30,190,7840,1113062.00,
500159,METROGLOBL  ,X ,Q,103.50,103.50,98.20,100.20,99.25,99.70,109,6317,633893.00,
500160,GTL LTD.    ,T ,Q,7.61,7.90,7.61,7.81,7.78,7.61,198,135359,1050638.00,
500163,GODFREY PH  ,A ,Q,2370.45,2399.40,2114.45,2146.30,2146.30,2346.45,3381,22969,50598537.00,
500164,GODREJ IND  ,A ,Q,634.75,654.25,630.80,652.15,652.15,630.95,855,12477,8045028.00,
500165,KANSAI NERO ,A ,Q,311.85,312.55,304.70,305.30,305.30,310.05,1102,13988,4308093.00,
500166,GOODRICKE   ,X ,Q,196.45,198.95,194.00,195.05,194.00,196.45,77,2892,566785.00,
500168,GOODYEAR (I),B ,Q,1289.95,1320.00,1289.95,1293.75,1299.00,1282.25,618,9225,11982896.00,
500170,GTN INDUS   ,X ,Q,37.92,40.00,37.00,38.04,38.14,37.00,87,8743,332675.00,
