SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4005.05,4036.15,3906.00,3928.90,3944.30,4015.70,1468,6284,24903480.00,
500003,AEGIS LOGIS ,A ,Q,313.70,316.75,302.20,303.20,303.20,313.70,1533,29846,9178313.00,
500008,AMAR RAJA BA,A ,Q,628.95,630.50,615.00,617.10,617.10,628.70,7368,77074,47897247.00,
500009,A.SARABHAI  ,XT,Q,40.63,40.63,40.63,40.63,40.63,41.45,35,4539,184419.00,
500012,ANDHRA PETRO,X ,Q,81.78,85.45,77.00,77.53,77.53,81.21,1375,403733,32811431.00,
500013,ANSAL INFRAS,T ,Q,12.92,12.92,12.92,12.92,12.92,13.59,13,18490,238890.00,
500014,UTIQUE      ,X ,Q,6.45,6.67,6.20,6.33,6.31,6.45,158,52393,333930.00,
500016,ARUNAHTEL   ,X ,Q,17.25,17.25,14.64,15.64,16.14,16.16,58,12600,198651.00,
500020,BOM DYEING  ,A ,Q,165.70,167.40,150.05,151.30,151.30,164.50,8345,661404,104285213.00,
500023,ASIANHOTNR  ,B ,Q,155.00,156.00,148.20,149.55,148.20,155.50,51,1767,269667.00,
500027,ATUL LTD.   ,A ,Q,6651.00,6779.00,6350.40,6400.15,6400.15,6674.10,1511,3992,25881200.00,
500028,ATV PROJECTS,XT,Q,14.24,14.24,13.96,13.96,13.96,14.24,29,2390,33402.00,
500031,BAJAJ ELECT.,A ,Q,1080.00,1080.00,1036.10,1051.85,1036.10,1074.25,313,2038,2160522.00,
500032,BAJAJHIND   ,A ,Q,26.60,26.60,23.92,24.06,24.06,26.30,11339,4248552,105252079.00,
500033,FORCE MOTR  ,B ,Q,3660.05,3701.00,3523.35,3525.05,3525.05,3708.75,542,1969,7006227.00,
500034,BAJFINANCE  ,A ,Q,7800.00,7880.00,7766.30,7794.40,7794.40,7766.30,2689,15260,119501306.00,
500038,BALRAM.CHINI,A ,Q,424.75,424.75,400.55,402.55,402.55,422.25,1934,70177,28808458.00,
500039,BANCO PROD. ,B ,Q,475.45,478.15,453.00,455.45,455.45,478.65,2420,19362,8955806.00,
500040,CENTURY TEXT,A ,Q,1082.45,1113.85,1056.55,1063.20,1066.50,1082.10,1029,13703,14630821.00,
