SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4263.00,4300.70,4252.05,4257.70,4257.70,4262.75,742,3371,14390067.00,
500003,AEGIS LOGIS ,A ,Q,321.70,321.70,313.25,314.70,315.00,315.35,919,23536,7422041.00,
500008,ARE&M       ,A ,Q,643.85,648.00,636.55,642.55,642.55,639.80,3677,63453,40747441.00,
500009,A.SARABHAI  ,XT,Q,39.00,40.59,39.00,40.59,40.59,38.66,342,163154,6574685.00,
500012,ANDHRA PETRO,X ,Q,84.00,84.00,82.06,82.91,82.65,83.41,429,66170,5488930.00,
500014,UTIQUE      ,X ,Q,6.50,6.60,6.20,6.44,6.35,6.27,233,74633,478390.00,
500016,ARUNAHTEL   ,X ,Q,16.15,16.48,15.01,15.70,15.70,15.53,106,20693,327218.00,
500020,BOM DYEING  ,A ,Q,157.00,161.80,157.00,158.45,158.40,156.90,1276,114340,18301269.00,
500023,ASIANHOTNR  ,B ,Q,212.15,215.00,205.50,206.85,209.85,208.70,66,1665,352196.00,
500027,ATUL LTD.   ,A ,Q,6690.10,6760.00,6669.50,6679.05,6671.10,6666.15,241,565,3787937.00,
500028,ATV PROJECTS,XT,Q,14.58,14.58,14.00,14.58,14.58,13.89,72,46496,676383.00,
500031,BAJAJ ELECT.,A ,Q,1015.85,1015.85,995.80,1005.45,1003.75,991.40,504,3359,3370430.00,
500032,BAJAJHIND   ,A ,Q,33.54,34.08,32.90,33.16,33.16,33.20,7278,2918271,97809233.00,
500033,FORCE MOTR  ,B ,Q,4239.00,4313.90,4105.05,4282.80,4282.80,4133.90,7435,57455,242337295.00,
500034,BAJFINANCE  ,A ,Q,7436.00,7473.95,7122.80,7223.95,7223.95,7359.55,8715,64524,471971346.00,
500038,BALRAM.CHINI,A ,Q,431.45,437.40,427.85,436.60,435.75,426.25,1049,35202,15276885.00,
500039,BANCO PROD. ,B ,Q,587.00,593.50,570.45,589.70,589.70,585.30,2525,37862,22090046.00,
500040,CENTURY TEXT,A ,Q,1224.90,1249.00,1206.50,1234.45,1231.00,1206.25,1953,21810,26840176.00,
500041,BANNARI AMAN,B ,Q,2559.55,2593.50,2559.55,2593.50,2593.50,2588.95,3,4,10320.00,
500042,BASF INDIA  ,A ,Q,2865.10,2944.20,2865.10,2935.05,2937.00,2862.35,790,3924,11463367.00,
500043,BATA INDIA  ,A ,Q,1580.00,1595.20,1566.05,1592.20,1591.45,1571.00,1247,13955,22069749.00,
500048,BEML LTD    ,A ,Q,2215.10,2273.95,2215.10,2269.20,2272.95,2214.90,1905,14844,33353889.00,
500049,BHARAT ELECT,A ,Q,144.80,145.40,142.50,143.00,143.00,143.45,8677,788142,113150389.00,
500052,BHANSALI ENG,B ,Q,89.27,89.48,87.87,88.19,88.29,88.17,1043,30360,2680068.00,
500058,BIHAR SPONGE,XT,Q,10.76,11.00,10.30,10.95,10.95,10.64,259,86131,931920.00,
500059,BINANI IND. ,T ,Q,16.52,16.52,16.45,16.45,16.45,16.20,14,2150,35473.00,
500060,BIRLACABLE  ,B ,Q,273.05,277.95,271.95,274.55,274.55,272.60,934,15961,4381865.00,
500067,BLUE STAR   ,A ,Q,974.95,981.35,957.60,967.55,964.40,958.00,1943,13317,12911153.00,
500068,DISA INDIA  ,B ,Q,13047.95,13048.00,12756.00,12955.45,13000.00,12674.85,47,144,1862627.00,
500069,QUESTCAP    ,X ,Q,262.50,275.00,262.50,271.80,272.00,273.80,16,1283,348313.00,
500074,BPL LTD.    ,T ,Q,99.18,99.18,95.00,98.72,97.18,94.46,660,118694,11626769.00,
500078,OAL         ,B ,Q,345.45,356.00,345.45,348.20,348.00,345.35,100,504,176600.00,
500083,CENTURY EXT ,T ,Q,16.95,16.95,16.01,16.31,16.31,16.67,235,42500,701776.00,
500084,CESC LTD.   ,A ,Q,91.49,92.75,89.84,91.32,91.30,90.04,2386,298454,27288457.00,
500085,CHAMBAL FERT,A ,Q,304.85,306.80,303.05,304.65,304.50,300.80,1369,69170,21084636.00,
500086,EXIDE IND.  ,A ,Q,273.10,274.85,272.00,272.35,272.35,271.65,1468,56820,15511050.00,
500087,CIPLA LTD.  ,A ,Q,1250.25,1257.00,1239.30,1241.35,1239.50,1240.35,3576,17731,22035656.00,
500089,DIC INDIA   ,B ,Q,428.95,435.55,427.00,434.15,434.15,428.80,28,142,61653.00,
500092,CRISIL LTD  ,A ,Q,4209.95,4234.85,4132.70,4161.70,4150.10,4145.65,355,969,4043721.00,
500093,CGPOWER     ,A ,Q,390.30,397.50,379.00,394.45,394.45,382.65,4073,117769,45595492.00,
500096,DABUR (I)   ,A ,Q,524.90,527.40,516.60,525.95,525.95,530.15,4155,131687,69094639.00,
500097,DALMIASUG   ,B ,Q,444.40,450.60,442.25,443.90,445.20,446.30,737,10420,4635974.00,
500101,ARVIND Ltd  ,A ,Q,215.00,220.95,214.60,217.10,217.10,213.55,3872,232180,50699256.00,
500103,BHEL        ,A ,Q,137.55,138.30,135.35,137.30,137.30,136.55,19986,2279428,311980672.00,
500104,HIND.PETRO  ,A ,Q,303.20,314.65,301.95,313.80,313.80,303.10,6313,383982,118944885.00,
500106,IFCI LTD    ,A ,Q,25.47,25.55,24.67,25.02,25.02,24.99,6265,5652312,141410789.00,
500108,MAHA.TELE   ,A ,Q,28.11,28.39,27.73,28.17,28.20,27.85,1164,397036,11151138.00,
500109,MRPL        ,A ,Q,115.05,121.45,114.65,118.20,118.20,114.80,10788,1531885,182335715.00,
500110,CHENNAI PET.,A ,Q,587.05,645.00,587.05,638.85,638.85,585.65,5677,177710,110508213.00,
500112,STATE BANK  ,A ,Q,586.25,589.00,582.60,584.65,584.65,581.35,11312,553483,323714308.00,
500113,STEEL AUTH. ,A ,Q,89.44,89.75,88.25,88.40,88.40,88.22,7676,1356417,120672883.00,
500114,TITAN       ,A ,Q,3260.00,3301.05,3260.00,3296.30,3296.30,3264.75,1165,10827,35548033.00,
500116,IDBI BANK L ,A ,Q,66.73,66.73,65.70,66.12,66.12,65.56,3820,693935,45870419.00,
500117,DCW LTD.    ,A ,Q,52.43,53.78,52.43,52.68,52.70,52.74,1388,149385,7899278.00,
500119,DHAMPUR SUGA,A ,Q,262.05,265.15,260.95,261.95,261.45,261.10,443,10505,2754677.00,
500120,DIAMINES&CHM,B ,Q,477.70,477.70,462.95,464.60,464.60,466.45,385,1794,837782.00,
500123,ELANTAS     ,B ,Q,7753.50,7924.00,7575.00,7881.20,7850.00,7753.45,702,1219,9376089.00,
500124,DR.REDDY'S  ,A ,Q,5420.05,5451.60,5405.40,5419.35,5419.35,5419.40,623,2770,15046582.00,
500125,E.I.D.PAR   ,A ,Q,505.10,513.00,496.25,497.20,497.20,504.65,2693,71985,36246106.00,
500126,PGHL        ,A ,Q,5116.40,5148.60,5084.95,5115.55,5105.80,5112.55,110,366,1871453.00,
500128,ELEC.CASTING,A ,Q,109.39,113.49,109.39,112.87,112.87,107.47,2614,405022,45249035.00,
500133,ESAB INDIA  ,A ,Q,6002.60,6002.60,5859.10,5895.25,5872.05,6002.60,415,954,5659984.00,
500135,EPL         ,A ,Q,194.05,197.05,192.05,192.80,192.75,193.95,1689,79925,15431427.00,
500136,ESTER INDUS.,B ,Q,86.95,87.80,86.05,86.40,86.21,86.56,400,14917,1290621.00,
500142,FGP LTD.    ,X ,Q,5.66,5.93,5.37,5.77,5.90,5.65,18,4781,26598.00,
500143,P.H.CAPITAL ,X ,Q,92.99,94.64,92.99,94.64,94.64,90.14,32,3757,354407.00,
500144,FINOL. CABLE,A ,Q,923.55,934.60,905.00,906.95,908.20,919.55,815,13487,12317640.00,
500147,COCKERILL   ,X ,Q,3250.00,3250.00,3150.00,3157.00,3157.00,3236.10,492,6751,21556833.00,
500148,UFLEX LTD   ,A ,Q,437.80,456.05,437.80,454.15,454.90,436.80,1685,25707,11574726.00,
500150,FOSECO INDIA,B ,Q,3447.45,3484.70,3440.20,3469.00,3469.00,3469.45,30,119,412689.00,
500151,GOLDEN TOB  ,Z ,Q,52.10,54.62,52.10,52.50,52.50,52.04,4,33,1734.00,
500153,GANESH BENZO,B ,Q,145.25,148.55,144.40,147.20,147.30,146.20,167,7050,1032134.00,
500159,METROGLOBL  ,X ,Q,104.15,107.65,101.40,103.40,103.40,104.15,113,9078,942268.00,
500160,GTL LTD.    ,T ,Q,8.41,8.41,8.41,8.41,8.41,8.58,133,46097,387675.00,
500163,GODFREY PH  ,A ,Q,2089.05,2130.50,2089.05,2092.55,2096.00,2088.70,914,5857,12334873.00,
500164,GODREJ IND  ,A ,Q,675.05,675.05,662.00,668.05,668.05,668.60,546,9259,6192505.00,
500165,KANSAI NERO ,A ,Q,310.65,315.30,309.50,314.05,314.05,310.60,2927,31937,9962065.00,
500166,GOODRICKE   ,X ,Q,198.70,202.50,198.00,199.50,198.10,198.70,87,15453,3105556.00,
500168,GOODYEAR (I),B ,Q,1330.00,1330.00,1289.05,1294.65,1294.65,1299.40,989,10328,13464887.00,
500170,GTN INDUS   ,X ,Q,36.87,38.00,36.87,37.96,37.96,36.87,52,10378,390140.00,
500171,GHCL LTD    ,A ,Q,527.05,530.10,520.00,525.55,526.85,526.25,478,11275,5930788.00,
500173,GFLLIMITED  ,B ,Q,103.00,103.00,98.70,99.78,99.79,99.56,259,17402,1731553.00,
500174,GUJ.LEASE   ,B ,Q,4.35,4.35,4.35,4.35,4.35,4.20,1,3,13.00,
500179,HCL INFOSYS ,B ,Q,16.13,16.34,16.01,16.17,16.19,16.04,748,109073,1763786.00,
500180,HDFC BANK   ,A ,Q,1500.00,1510.95,1500.00,1504.30,1504.30,1489.15,16556,357471,538654916.00,
500182,HEROMOTOCO  ,A ,Q,3130.40,3180.00,3130.40,3177.05,3167.75,3118.80,4456,89276,282037771.00,
500183,HFCL        ,A ,Q,66.68,69.10,66.31,68.25,68.25,65.90,4912,900496,61237500.00,
500184,HSCL        ,A ,Q,260.05,263.95,256.90,258.30,258.30,259.10,4758,156617,40751655.00,
500185,HIND.CONSTN.,A ,Q,30.71,31.90,30.09,31.52,31.52,30.18,11557,9523950,297144722.00,
