SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4103.55,4115.65,4032.50,4087.50,4087.50,4099.15,1632,9013,36650803.00,
500003,AEGIS LOGIS ,A ,Q,317.30,320.15,314.80,318.00,318.00,317.30,436,8593,2726370.00,
500008,AMAR RAJA BA,A ,Q,640.95,640.95,636.00,637.65,637.65,641.25,3000,39531,25223235.00,
500009,A.SARABHAI  ,XT,Q,42.27,43.13,42.27,42.27,42.27,43.13,316,431685,18501440.00,
500012,ANDHRA PETRO,X ,Q,80.94,84.00,80.11,82.13,82.13,81.52,476,85616,7071936.00,
500014,UTIQUE      ,X ,Q,6.64,6.90,6.02,6.50,6.41,6.52,195,89412,591217.00,
500016,ARUNAHTEL   ,X ,Q,16.60,16.60,16.00,16.49,16.45,15.76,37,5093,83257.00,
500020,BOM DYEING  ,A ,Q,156.90,158.75,155.40,156.85,157.05,156.20,2268,118274,18579849.00,
500023,ASIANHOTNR  ,B ,Q,146.55,159.60,146.50,157.60,157.75,153.75,41,637,97480.00,
500027,ATUL LTD.   ,A ,Q,6949.95,6949.95,6748.00,6771.60,6771.60,6838.60,584,1385,9398903.00,
500028,ATV PROJECTS,XT,Q,14.56,14.56,14.50,14.53,14.53,14.53,35,32396,470515.00,
500031,BAJAJ ELECT.,A ,Q,1102.85,1119.00,1095.00,1098.80,1098.80,1122.80,745,4335,4789808.00,
500032,BAJAJHIND   ,A ,Q,26.77,26.77,26.10,26.53,26.53,26.68,2621,1263743,33391528.00,
500033,FORCE MOTR  ,B ,Q,3787.80,3815.00,3753.80,3767.20,3762.40,3787.80,600,1791,6773937.00,
500034,BAJFINANCE  ,A ,Q,7859.95,7922.15,7733.60,7842.60,7842.60,7871.10,7054,68073,533815621.00,
500038,BALRAM.CHINI,A ,Q,423.45,423.85,418.35,421.60,421.65,423.60,796,18405,7761268.00,
500039,BANCO PROD. ,B ,Q,494.95,494.95,480.00,483.05,482.60,484.80,281,2303,1113667.00,
500040,CENTURY TEXT,A ,Q,1181.80,1182.15,1143.90,1157.70,1157.70,1187.50,959,13896,16210985.00,
500041,BANNARI AMAN,B ,Q,2587.00,2684.95,2587.00,2619.90,2626.45,2630.75,16,26,68670.00,
500042,BASF INDIA  ,A ,Q,2596.95,2617.00,2554.65,2604.75,2611.80,2588.80,77,257,665929.00,
500043,BATA INDIA  ,A ,Q,1625.00,1628.95,1617.40,1622.95,1619.85,1630.15,254,2331,3780575.00,
500048,BEML LTD    ,A ,Q,2308.10,2351.00,2308.05,2340.25,2336.35,2308.70,330,2427,5666921.00,
500049,BHARAT ELECT,A ,Q,136.00,137.20,135.05,136.95,136.95,137.10,5899,397422,54139159.00,
500052,BHANSALI ENG,B ,Q,92.00,93.85,91.58,93.29,93.29,92.15,2365,103995,9632830.00,
500058,BIHAR SPONGE,XT,Q,10.65,10.80,10.12,10.52,10.60,10.49,189,74029,780890.00,
500059,BINANI IND. ,T ,Q,15.14,15.30,15.14,15.30,15.30,15.44,14,4755,72086.00,
500060,BIRLACABLE  ,B ,Q,319.95,331.30,313.65,327.20,327.20,315.55,1474,39264,12849906.00,
500067,BLUE STAR   ,A ,Q,939.85,950.40,927.60,945.20,941.40,939.80,1047,12289,11564256.00,
500068,DISA INDIA  ,B ,Q,13549.95,13750.00,13505.00,13523.65,13515.05,13703.15,22,36,488054.00,
500069,QUESTCAP    ,X ,Q,280.00,289.25,280.00,282.10,282.00,280.55,35,576,162683.00,
500074,BPL LTD.    ,B ,Q,85.06,102.90,85.00,102.43,102.43,85.75,7012,684287,67842420.00,
500078,OAL         ,B ,Q,366.35,372.15,365.55,369.30,369.55,370.45,103,654,240719.00,
500083,CENTURY EXT ,T ,Q,16.60,17.00,16.60,16.71,16.71,16.61,143,33373,560349.00,
500084,CESC LTD.   ,A ,Q,89.70,91.52,89.50,90.10,90.10,90.75,2072,243594,22046272.00,
500085,CHAMBAL FERT,A ,Q,292.75,296.50,289.75,295.25,294.75,293.70,1264,55119,16178684.00,
500086,EXIDE IND.  ,A ,Q,265.30,266.00,263.00,265.35,264.50,267.00,1202,50532,13371091.00,
500087,CIPLA LTD.  ,A ,Q,1211.95,1224.70,1190.05,1223.30,1223.30,1210.55,2469,56406,68210244.00,
500089,DIC INDIA   ,B ,Q,442.85,453.70,442.85,445.15,443.35,450.90,188,2228,1001615.00,
500092,CRISIL LTD  ,A ,Q,4080.00,4200.00,3993.80,4155.90,4181.00,4031.55,837,14811,60636585.00,
500093,CGPOWER     ,A ,Q,386.05,387.25,371.25,380.30,381.10,387.35,5787,213249,80896262.00,
500096,DABUR (I)   ,A ,Q,524.70,528.30,520.45,525.45,525.45,534.15,5772,121991,63974820.00,
500097,DALMIASUG   ,B ,Q,453.25,462.35,445.55,453.45,453.15,453.25,808,13252,5979511.00,
500101,ARVIND Ltd  ,A ,Q,189.70,193.15,188.00,190.30,189.50,191.15,1546,66792,12758983.00,
500103,BHEL        ,A ,Q,128.40,130.00,127.15,129.20,129.20,129.15,4992,689894,88740683.00,
500104,HIND.PETRO  ,A ,Q,255.60,262.45,254.40,261.65,261.65,256.90,1472,105439,27304754.00,
500106,IFCI LTD    ,A ,Q,24.11,25.14,23.70,24.06,24.06,24.22,7498,5688085,138263037.00,
500108,MAHA.TELE   ,A ,Q,29.48,31.20,29.45,30.64,30.64,30.07,2140,1116268,34080154.00,
500109,MRPL        ,A ,Q,106.80,109.36,106.00,108.16,108.00,107.45,4164,559529,60440740.00,
500110,CHENNAI PET.,A ,Q,586.60,608.35,585.00,598.25,598.25,589.15,3749,159039,95541182.00,
500112,STATE BANK  ,A ,Q,570.50,573.80,567.05,571.25,571.25,572.65,10955,365001,208288402.00,
500113,STEEL AUTH. ,A ,Q,87.11,88.65,86.74,88.51,88.51,87.82,5209,791419,69466445.00,
500114,TITAN       ,A ,Q,3280.00,3300.00,3240.10,3284.30,3284.30,3283.05,3066,104990,345272997.00,
500116,IDBI BANK L ,A ,Q,68.31,69.55,67.80,68.60,68.60,68.97,3320,839379,57669935.00,
500117,DCW LTD.    ,A ,Q,56.85,59.44,55.71,58.97,58.97,56.37,1767,332405,19195013.00,
500119,DHAMPUR SUGA,A ,Q,290.60,296.45,289.65,294.45,294.45,293.50,1014,23712,6927532.00,
500120,DIAMINES&CHM,B ,Q,518.60,520.00,513.70,515.35,517.90,518.65,233,5091,2638104.00,
500123,ELANTAS     ,B ,Q,7969.75,7992.00,7825.05,7857.90,7850.00,7950.15,97,871,6860350.00,
500124,DR.REDDY'S  ,A ,Q,5635.30,5669.00,5610.25,5624.50,5624.50,5675.85,1231,46515,263017815.00,
500125,E.I.D.PAR   ,A ,Q,497.05,499.00,492.00,496.25,496.25,498.80,1473,29087,14399416.00,
500126,PGHL        ,A ,Q,5165.00,5187.00,5120.00,5125.65,5138.95,5163.65,73,118,607654.00,
500128,ELEC.CASTING,A ,Q,84.26,88.77,84.16,88.45,88.45,85.66,1123,282752,24500667.00,
500133,ESAB INDIA  ,A ,Q,5370.00,5528.00,5349.95,5508.65,5490.00,5368.30,197,530,2876080.00,
500135,EPL         ,A ,Q,195.00,196.95,195.00,196.05,196.10,198.15,213,7155,1403050.00,
500136,ESTER INDUS.,B ,Q,93.65,94.15,92.90,93.65,93.95,93.99,202,8379,783540.00,
500142,FGP LTD.    ,XT,Q,5.45,6.01,5.45,5.92,5.98,5.73,17,2690,15900.00,
500143,P.H.CAPITAL ,XT,Q,69.00,73.80,69.00,73.00,73.00,70.31,11,681,49284.00,
500144,FINOL. CABLE,A ,Q,922.40,955.00,917.00,919.80,923.55,921.65,1422,21753,20312634.00,
500147,COCKERILL   ,X ,Q,2997.90,3290.00,2958.00,3243.70,3243.70,2988.45,2378,48097,153948914.00,
500148,UFLEX LTD   ,A ,Q,454.20,454.20,445.00,449.85,450.00,452.25,410,5218,2349123.00,
500150,FOSECO INDIA,B ,Q,3506.80,3538.00,3456.10,3474.15,3478.95,3530.00,37,85,298529.00,
500151,GOLDEN TOB  ,Z ,Q,50.50,53.00,50.50,52.99,52.99,53.00,26,2840,148210.00,
500153,GANESH BENZO,B ,Q,152.10,152.75,150.15,151.05,151.10,152.05,135,4221,638313.00,
500159,METROGLOBL  ,X ,Q,117.45,117.45,108.12,109.82,112.00,112.61,168,12421,1368784.00,
500160,GTL LTD.    ,T ,Q,7.53,7.95,7.53,7.84,7.82,7.85,208,54268,424632.00,
500163,GODFREY PH  ,A ,Q,2314.95,2333.05,2284.40,2304.50,2288.25,2298.35,937,5717,13171952.00,
500164,GODREJ IND  ,A ,Q,664.95,670.00,659.10,662.30,660.00,661.05,603,12642,8405737.00,
500165,KANSAI NERO ,A ,Q,324.90,324.90,318.60,320.75,321.55,323.05,300,6211,1993782.00,
500166,GOODRICKE   ,X ,Q,200.00,203.85,198.50,202.40,203.30,198.35,52,2836,570449.00,
500168,GOODYEAR (I),B ,Q,1340.00,1365.00,1336.75,1347.05,1346.00,1340.50,95,613,829334.00,
500170,GTN INDUS   ,XT,Q,37.99,38.85,36.15,38.32,38.35,37.27,61,22922,868682.00,
500171,GHCL LTD    ,A ,Q,611.40,613.45,604.75,607.60,608.80,613.65,205,2898,1765661.00,
500173,GFLLIMITED  ,B ,Q,101.00,107.00,101.00,105.26,104.74,103.26,876,19327,2034503.00,
500174,GUJ.LEASE   ,B ,Q,4.51,4.51,4.30,4.30,4.30,4.30,9,1377,6043.00,
500179,HCL INFOSYS ,T ,Q,16.10,16.10,15.80,15.99,15.99,15.99,278,29245,465687.00,
500180,HDFC BANK   ,A ,Q,1507.00,1526.25,1503.35,1514.95,1514.95,1519.70,9994,575167,875082871.00,
500182,HEROMOTOCO  ,A ,Q,3144.00,3275.00,3141.60,3269.25,3265.35,3152.00,4616,98305,317036272.00,
500183,HFCL        ,A ,Q,72.89,74.16,72.60,73.05,73.05,72.94,1199,317299,23317713.00,
500184,HSCL        ,A ,Q,255.95,268.00,252.15,262.50,262.50,254.80,3175,145076,37821473.00,
500185,HIND.CONSTN.,A ,Q,27.72,29.30,27.52,28.61,28.61,27.91,6545,4917531,140401324.00,
500186,HIND.OIL EXP,A ,Q,180.20,184.00,178.90,180.05,179.05,180.40,1869,157693,28711976.00,
500187,AGI         ,A ,Q,971.00,991.00,943.25,950.90,953.70,970.90,1033,10225,9869316.00,
500188,HINDUS.ZI   ,A ,Q,310.15,314.90,310.15,314.30,314.90,314.25,1486,31122,9749950.00,
500189,NDLVENTURE  ,T ,Q,143.00,144.55,139.25,139.25,139.25,142.60,6,316,45154.00,
500191,HMT LTD.    ,Z ,Q,63.94,63.94,63.94,63.94,63.94,65.24,31,4334,277115.00,
500192,PRAG BOSIMI ,X ,Q,2.85,2.99,2.81,2.87,2.87,2.85,25,10562,30507.00,
500193,HLVLTD      ,B ,Q,20.80,22.53,20.64,21.99,21.99,20.77,1527,528495,11599640.00,
500199,I.G.PETRO   ,B ,Q,530.00,530.00,515.05,517.40,518.00,520.40,151,1841,953150.00,
500201,IND.GLYCOLS ,A ,Q,698.85,699.45,690.00,693.05,693.65,698.35,414,4118,2861968.00,
500202,IND.LEAS.DEV,XT,Q,7.59,7.59,7.59,7.59,7.59,7.23,4,202,1533.00,
500206,MARGO FIN   ,X ,Q,31.68,35.00,31.68,33.38,32.05,33.00,25,2963,100550.00,
500207,INDO RAMA   ,B ,Q,51.75,52.60,51.75,52.41,52.41,52.52,96,5700,299068.00,
500209,INFOSYS LTD ,A ,Q,1427.90,1439.60,1421.00,1433.45,1433.45,1440.75,25296,1052629,1511345193.00,
500210,INGERSOLL   ,A ,Q,2980.05,3021.10,2980.05,2988.95,2988.95,3027.80,148,307,919821.00,
500213,INTER.TRAVEL,X ,Q,409.00,447.50,400.40,422.55,422.55,409.25,1695,81254,35304459.00,
500214,ION EXCHANGE,A ,Q,629.65,629.65,592.00,607.10,607.20,633.40,1665,26895,16297874.00,
500215,AGRO TECH FO,B ,Q,833.05,855.95,827.15,844.10,849.70,842.30,236,3696,3107263.00,
500219,JAIN IRRIG  ,A ,Q,63.01,66.25,63.01,64.91,64.91,63.77,1763,211080,13706545.00,
500223,JCT LTD     ,XT,Q,2.79,2.89,2.66,2.76,2.76,2.79,1417,3588575,9708962.00,
500227,JINDAL POLYF,A ,Q,690.35,708.65,683.25,701.95,704.00,691.50,945,12514,8732956.00,
500228,JSWSL       ,A ,Q,782.35,782.65,769.25,780.85,776.10,784.35,1351,30970,24057211.00,
500231,UMANG DAIR  ,B ,Q,65.01,74.60,64.00,73.52,73.52,72.15,312,7084,517617.00,
500233,KAJARIA CER.,A ,Q,1267.00,1280.05,1255.00,1260.05,1256.00,1266.65,343,2742,3463564.00,
500234,KAKATIYA CEM,B ,Q,224.95,225.45,221.95,222.95,223.80,223.55,99,897,200164.00,
500235,KALYANI STEL,B ,Q,494.65,498.45,490.10,494.15,492.35,497.05,124,902,445003.00,
500236,KANELIND    ,XT,Q,1.42,1.51,1.38,1.51,1.51,1.44,14,13743,20473.00,
500238,WHIRLPOOL   ,A ,Q,1643.85,1664.65,1604.95,1657.70,1664.65,1650.65,451,2382,3932469.00,
500239,KG DENIM    ,X ,Q,29.60,30.85,29.35,30.43,30.00,30.39,26,9478,285050.00,
500240,KINETIC ENG.,X ,Q,132.95,141.40,130.00,136.05,136.05,132.10,407,90741,12567373.00,
500241,KIRL.BROS.  ,B ,Q,952.50,1060.00,952.50,1029.35,1029.35,953.50,3511,27798,28372681.00,
500243,KIRL INDUS  ,B ,Q,3083.95,3123.00,3083.95,3100.00,3100.00,3070.45,53,213,659635.00,
500245,KIRL.FERROUS,A ,Q,486.95,489.35,472.00,484.45,485.30,478.90,523,6237,3001568.00,
500246,ENVAIN ELECT,XT,Q,232.30,232.30,232.30,232.30,232.30,237.00,6,439,101979.00,
500247,KOTAK MAH.BK,A ,Q,1745.80,1751.70,1735.30,1738.25,1738.25,1753.90,4902,35803,62352411.00,
500249,KSB         ,A ,Q,2967.65,3323.05,2967.65,3230.50,3221.80,3078.40,1751,7841,25242353.00,
500250,L.G.BALKRISH,A ,Q,1036.00,1050.00,1034.35,1045.05,1044.00,1037.35,533,3999,4171456.00,
500251,TRENT LTD.  ,A ,Q,2045.95,2075.00,2021.25,2060.65,2054.00,2045.95,896,8250,16889788.00,
500252,LAXMIMACH   ,A ,Q,13888.90,14049.95,13888.90,13968.40,13920.00,13934.45,229,551,7701747.00,
500253,LIC HOUS.FIN,A ,Q,474.95,474.95,462.90,466.85,466.85,470.50,995,59948,27963247.00,
500257,LUPIN LTD.  ,A ,Q,1158.20,1202.10,1158.20,1199.30,1197.55,1189.95,833,17279,20603620.00,
500259,LYKA LABS   ,B ,Q,119.10,121.35,118.45,119.15,119.60,117.80,130,4605,549741.00,
500260,RAMCOCEM    ,A ,Q,967.45,1002.40,967.45,994.55,992.10,987.00,902,12247,12118364.00,
500262,HYBRIDFIN   ,T ,Q,7.50,8.14,7.50,8.13,8.13,7.76,5,1826,13727.00,
500264,MAFATLAL IND,X ,Q,172.00,172.00,161.00,164.80,164.80,166.85,600,80747,13338646.00,
500265,MAH.SEAMLESS,A ,Q,681.50,682.00,670.65,677.90,675.90,680.10,263,3153,2128727.00,
500266,MAH.SCOOTER ,A ,Q,7956.10,7982.95,7851.90,7940.20,7926.90,7934.45,221,489,3874872.00,
500267,MAJESTIC AUT,X ,Q,189.95,194.00,185.00,191.65,193.50,184.60,134,11391,2172630.00,
500268,MANALI PETRO,B ,Q,70.11,74.50,69.05,73.48,73.48,70.62,2593,310633,22351217.00,
500270,BARODA RAYON,X ,Q,237.45,237.45,237.45,237.45,237.45,215.90,237,13934,3308628.00,
