SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4339.95,4381.55,4229.05,4239.60,4247.00,4309.50,2444,14454,62170568.00,
500003,AEGIS LOGIS ,A ,Q,315.90,317.50,308.00,310.25,311.55,316.10,2575,92408,28850499.00,
500008,ARE&M       ,A ,Q,629.95,630.90,625.55,628.35,628.35,630.95,596,10152,6372478.00,
500009,A.SARABHAI  ,XT,Q,36.77,37.05,36.77,37.00,37.00,37.23,73,78567,2907471.00,
500012,ANDHRA PETRO,X ,Q,81.75,83.90,79.00,82.85,82.85,81.23,592,104659,8619284.00,
500014,UTIQUE      ,X ,Q,6.47,6.47,6.10,6.20,6.20,6.13,136,90247,562682.00,
500016,ARUNAHTEL   ,X ,Q,14.99,15.00,13.90,14.06,14.06,14.50,117,19676,280262.00,
500020,BOM DYEING  ,A ,Q,154.45,155.70,152.95,154.65,153.50,154.10,1264,162708,25128161.00,
500023,ASIANHOTNR  ,B ,Q,207.95,207.95,201.80,201.90,201.90,212.40,124,1698,344214.00,
500027,ATUL LTD.   ,A ,Q,6645.90,6678.45,6605.10,6650.25,6643.05,6640.05,302,782,5199563.00,
500028,ATV PROJECTS,XT,Q,12.64,12.64,12.60,12.60,12.60,12.40,35,17297,218626.00,
500031,BAJAJ ELECT.,A ,Q,1024.95,1024.95,1004.50,1009.30,1010.55,1014.55,498,2764,2800436.00,
500032,BAJAJHIND   ,A ,Q,30.91,33.19,30.78,32.35,32.35,31.73,10375,4272808,137444179.00,
500033,FORCE MOTR  ,B ,Q,4053.25,4053.25,4053.25,4053.25,4053.25,3860.25,1471,35132,142398779.00,
500034,BAJFINANCE  ,A ,Q,7379.95,7453.80,7350.00,7445.60,7445.60,7383.95,2883,14282,106103080.00,
500038,BALRAM.CHINI,A ,Q,430.05,439.80,430.05,437.35,437.35,432.60,2526,120409,52671342.00,
500039,BANCO PROD. ,B ,Q,519.90,534.25,512.85,532.30,532.30,525.35,2207,61497,32314365.00,
500040,CENTURY TEXT,A ,Q,1161.00,1174.50,1157.00,1171.35,1168.85,1170.35,532,5131,5987504.00,
500041,BANNARI AMAN,B ,Q,2595.40,2609.35,2593.00,2599.65,2602.50,2558.90,14,25,64951.00,
