SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4276.25,4370.20,4216.05,4309.50,4310.00,4276.25,2688,13685,58720105.00,
500003,AEGIS LOGIS ,A ,Q,295.75,318.55,291.80,316.10,316.10,293.85,3894,145117,44644072.00,
500008,ARE&M       ,A ,Q,638.95,638.95,627.30,630.95,631.40,635.85,2078,22810,14412109.00,
500009,A.SARABHAI  ,XT,Q,37.31,37.81,37.23,37.23,37.23,37.98,108,88297,3296830.00,
500012,ANDHRA PETRO,X ,Q,86.49,86.50,81.00,81.23,81.23,84.87,992,183256,15281302.00,
500014,UTIQUE      ,X ,Q,6.03,6.16,6.03,6.13,6.08,6.05,103,48663,297617.00,
500016,ARUNAHTEL   ,X ,Q,14.61,15.43,14.21,14.50,14.50,14.91,106,24378,355925.00,
500020,BOM DYEING  ,A ,Q,158.05,158.05,153.15,154.10,154.10,157.60,2527,294361,45667846.00,
500023,ASIANHOTNR  ,B ,Q,233.90,234.00,212.35,212.40,212.40,223.50,161,3805,851414.00,
500027,ATUL LTD.   ,A ,Q,6649.95,6670.00,6562.90,6640.05,6655.25,6596.75,357,1418,9408806.00,
500028,ATV PROJECTS,XT,Q,12.45,12.45,12.40,12.40,12.40,12.50,20,4877,60497.00,
500031,BAJAJ ELECT.,A ,Q,1027.00,1027.00,1010.50,1014.55,1017.20,1022.35,316,2097,2131616.00,
500032,BAJAJHIND   ,A ,Q,34.11,34.19,31.30,31.73,31.73,33.99,11328,4159342,134943820.00,
500033,FORCE MOTR  ,B ,Q,3800.00,3894.95,3800.00,3860.25,3860.25,3810.75,2699,24323,94009057.00,
500034,BAJFINANCE  ,A ,Q,7465.05,7479.45,7370.00,7383.95,7383.95,7458.80,3740,28866,213566766.00,
500038,BALRAM.CHINI,A ,Q,432.00,437.10,431.15,432.60,433.25,429.85,1551,74923,32501152.00,
