SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4299.95,4306.80,4205.00,4262.75,4262.75,4236.70,1549,7327,31290724.00,
500003,AEGIS LOGIS ,A ,Q,318.95,322.00,309.60,315.35,315.35,312.45,2146,59398,18820594.00,
500008,ARE&M       ,A ,Q,636.05,641.95,634.00,639.80,639.80,638.50,822,12919,8249254.00,
500009,A.SARABHAI  ,XT,Q,37.25,38.66,36.27,38.66,38.66,36.82,258,102945,3846099.00,
500012,ANDHRA PETRO,X ,Q,84.39,84.50,82.10,83.41,83.41,84.27,526,99350,8276264.00,
500013,ANSAL INFRAS,Z ,Q,11.09,11.09,11.09,11.09,11.09,11.67,22,14481,160594.00,
500014,UTIQUE      ,X ,Q,6.51,6.51,6.26,6.27,6.27,6.35,121,34170,215322.00,
500016,ARUNAHTEL   ,X ,Q,15.50,15.89,15.10,15.53,15.60,14.92,84,28808,446219.00,
500020,BOM DYEING  ,A ,Q,156.65,158.95,153.60,156.90,156.70,155.70,1794,116490,18272404.00,
500023,ASIANHOTNR  ,B ,Q,202.80,208.70,202.80,208.70,208.70,198.80,15,199,41234.00,
500027,ATUL LTD.   ,A ,Q,6689.95,6694.00,6570.00,6666.15,6666.15,6664.50,459,1357,8991491.00,
500028,ATV PROJECTS,XT,Q,13.89,13.89,13.60,13.89,13.89,13.23,86,29834,414344.00,
500031,BAJAJ ELECT.,A ,Q,1019.10,1019.10,982.20,991.40,991.40,1018.75,2043,11323,11246419.00,
500032,BAJAJHIND   ,A ,Q,33.29,33.70,32.35,33.20,33.20,33.16,5527,2092647,69180307.00,
500033,FORCE MOTR  ,B ,Q,4468.00,4468.00,4075.00,4133.90,4133.90,4255.90,6402,122634,524649164.00,
500034,BAJFINANCE  ,A ,Q,7458.05,7458.05,7320.00,7359.55,7359.55,7458.05,6127,28768,211881654.00,
500038,BALRAM.CHINI,A ,Q,439.45,439.45,424.60,426.25,426.25,436.50,2052,60327,25896720.00,
500039,BANCO PROD. ,B ,Q,541.05,598.75,541.05,585.30,585.30,549.80,3095,50984,29604350.00,
500040,CENTURY TEXT,A ,Q,1184.50,1215.60,1184.50,1206.25,1206.25,1182.40,1068,13401,16087447.00,
500041,BANNARI AMAN,B ,Q,2602.45,2650.00,2566.85,2588.95,2588.95,2600.70,49,277,720725.00,
500042,BASF INDIA  ,A ,Q,2810.05,2948.90,2810.05,2862.35,2863.85,2849.75,416,2049,5921567.00,
500043,BATA INDIA  ,A ,Q,1581.50,1581.55,1564.50,1571.00,1568.40,1579.40,343,2196,3449800.00,
