SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4383.95,4383.95,4225.00,4235.40,4240.00,4342.25,893,4721,20112031.00,
500003,AEGIS LOGIS ,A ,Q,314.10,331.60,307.00,328.90,329.10,312.65,4047,175567,57341807.00,
500008,ARE&M       ,A ,Q,655.40,660.00,648.00,650.85,649.40,654.85,1058,13516,8822654.00,
500009,A.SARABHAI  ,XT,Q,46.08,46.11,46.08,46.08,46.08,47.02,185,238128,10977150.00,
500012,ANDHRA PETRO,X ,Q,79.50,79.78,78.01,78.20,78.36,79.34,434,39510,3105328.00,
500014,UTIQUE      ,X ,Q,6.41,6.74,6.41,6.66,6.66,6.52,142,53769,356460.00,
500016,ARUNAHTEL   ,X ,Q,14.69,15.03,14.00,14.94,14.94,14.19,123,33036,485790.00,
500020,BOM DYEING  ,A ,Q,164.25,174.75,164.25,168.80,168.80,163.80,8906,975046,166556525.00,
500023,ASIANHOTNR  ,T ,Q,195.00,199.90,194.10,199.90,199.90,200.05,14,1022,200433.00,
500027,ATUL LTD.   ,A ,Q,6606.90,6606.90,6486.35,6510.85,6513.25,6559.70,195,664,4327135.00,
500028,ATV PROJECTS,XT,Q,16.00,16.05,15.98,16.05,16.05,16.30,47,36792,588924.00,
500031,BAJAJ ELECT.,A ,Q,1000.00,1000.00,980.00,990.35,991.60,983.15,225,1479,1461770.00,
500032,BAJAJHIND   ,A ,Q,32.39,32.64,31.10,31.92,31.92,32.41,6087,1939819,61617026.00,
500033,FORCE MOTR  ,B ,Q,4055.10,4129.85,3960.00,4040.25,4040.25,4079.10,3131,21085,85790080.00,
500034,BAJFINANCE  ,A ,Q,7099.95,7174.70,7069.05,7125.90,7125.90,7104.15,4475,33153,236295751.00,
500038,BALRAM.CHINI,A ,Q,446.60,464.35,446.60,461.80,461.80,448.00,2124,77032,35130751.00,
500039,BANCO PROD. ,B ,Q,580.90,587.85,564.00,569.35,569.35,581.70,5075,82539,47535806.00,
500040,CENTURY TEXT,A ,Q,1245.20,1255.00,1231.05,1235.15,1232.55,1243.35,766,7989,9902953.00,
500041,BANNARI AMAN,B ,Q,2565.40,2568.30,2540.00,2545.80,2540.00,2574.90,50,105,267964.00,
500042,BASF INDIA  ,A ,Q,3109.95,3109.95,2952.00,2961.95,2952.40,3060.10,1010,3708,11075597.00,
500043,BATA INDIA  ,A ,Q,1593.00,1626.00,1593.00,1621.35,1622.30,1593.90,1491,11913,19215355.00,
500048,BEML LTD    ,A ,Q,2463.95,2463.95,2376.00,2436.10,2429.45,2437.50,1425,17230,41560526.00,
500049,BHARAT ELECT,A ,Q,142.90,143.60,140.20,141.85,141.85,142.90,5620,416240,58965649.00,
500052,BHANSALI ENG,B ,Q,91.64,98.80,91.64,96.69,96.69,91.75,8125,685885,66147009.00,
500058,BIHAR SPONGE,XT,Q,10.63,10.67,10.00,10.08,10.35,10.38,149,35443,361577.00,
500059,BINANI IND. ,T ,Q,16.80,16.85,16.80,16.80,16.80,17.10,9,7562,127044.00,
500060,BIRLACABLE  ,B ,Q,277.40,277.40,267.00,271.95,272.00,276.05,1063,15625,4263964.00,
500067,BLUE STAR   ,A ,Q,985.00,995.90,962.55,974.20,974.55,988.30,1895,19650,19206096.00,
500068,DISA INDIA  ,B ,Q,13134.95,13134.95,12651.55,12800.05,12800.00,12807.35,28,83,1061800.00,
500069,QUESTCAP    ,X ,Q,270.95,270.95,265.10,265.20,265.10,266.90,6,114,30311.00,
500074,BPL LTD.    ,T ,Q,89.26,89.26,89.26,89.26,89.26,91.08,43,3219,287327.00,
500078,OAL         ,B ,Q,348.80,352.80,344.00,348.15,349.60,346.35,69,506,175134.00,
500083,CENTURY EXT ,T ,Q,17.65,17.91,17.40,17.91,17.91,17.06,120,47512,848726.00,
500084,CESC LTD.   ,A ,Q,99.55,103.00,98.75,99.88,99.88,99.14,5049,719542,72686818.00,
500085,CHAMBAL FERT,A ,Q,310.65,314.65,306.70,312.30,311.40,310.80,3790,272636,84793188.00,
500086,EXIDE IND.  ,A ,Q,287.05,287.55,281.60,283.20,283.20,285.60,4705,222106,63090655.00,
500087,CIPLA LTD.  ,A ,Q,1258.00,1283.00,1253.40,1271.65,1273.00,1253.85,5150,83818,106598882.00,
500089,DIC INDIA   ,B ,Q,431.00,432.00,424.70,429.70,430.00,422.00,21,113,48461.00,
500092,CRISIL LTD  ,A ,Q,4203.35,4358.80,4203.35,4326.70,4320.00,4254.70,983,4366,18766794.00,
500093,CGPOWER     ,A ,Q,390.85,469.00,386.00,469.00,469.00,390.85,10752,750967,342308606.00,
500096,DABUR (I)   ,A ,Q,541.00,541.90,537.65,540.80,540.80,541.20,1620,27671,14943338.00,
500097,DALMIASUG   ,B ,Q,436.90,438.85,432.20,436.60,435.70,435.95,962,13282,5797823.00,
500101,ARVIND Ltd  ,A ,Q,223.00,228.00,220.10,224.65,224.65,221.40,1686,86771,19443541.00,
500103,BHEL        ,A ,Q,139.65,141.70,139.30,141.20,141.20,139.65,10874,1434438,201415522.00,
500104,HIND.PETRO  ,A ,Q,307.75,314.60,302.35,305.15,305.15,305.00,5841,559688,171614488.00,
500106,IFCI LTD    ,A ,Q,24.35,24.71,23.63,24.11,24.11,24.33,3604,2465270,59411044.00,
500108,MAHA.TELE   ,A ,Q,27.10,28.00,27.01,27.51,27.40,27.65,1631,524301,14426102.00,
500109,MRPL        ,A ,Q,116.95,116.95,112.65,113.10,113.10,116.05,2035,227787,26138253.00,
500110,CHENNAI PET.,A ,Q,613.00,614.30,592.00,594.65,594.65,612.50,4718,111348,66762787.00,
500112,STATE BANK  ,A ,Q,562.05,564.50,555.25,559.10,559.10,561.40,8615,358645,200589852.00,
500113,STEEL AUTH. ,A ,Q,91.00,91.08,88.75,89.24,89.24,90.62,3073,609034,54628480.00,
500114,TITAN       ,A ,Q,3424.95,3434.00,3400.00,3429.65,3426.20,3394.15,1711,15722,53774545.00,
500116,IDBI BANK L ,A ,Q,60.11,60.69,59.70,60.41,60.41,62.27,3839,1256399,75665555.00,
