SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4624.05,4864.65,4594.60,4847.75,4845.30,4622.75,2757,14097,66822582.00,
500003,AEGIS LOGIS ,A ,Q,367.45,367.45,360.95,363.85,363.00,363.00,1463,39400,14310644.00,
500008,ARE&M       ,A ,Q,774.00,777.70,751.45,757.25,757.25,768.00,2097,49485,37821308.00,
500009,A.SARABHAI  ,XT,Q,41.00,41.00,40.00,40.00,40.00,40.77,122,52805,2135836.00,
500012,ANDHRA PETRO,X ,Q,78.90,79.10,76.00,77.90,77.90,77.83,630,79266,6175560.00,
500013,ANSAL INFRAS,Z ,Q,10.63,10.63,10.63,10.63,10.63,10.13,10,2678,28467.00,
500014,UTIQUE      ,X ,Q,6.42,6.55,6.42,6.49,6.55,6.49,156,41187,267220.00,
500016,ARUNAHTEL   ,X ,Q,17.00,17.70,16.40,16.75,16.60,16.48,87,32154,544898.00,
500020,BOM DYEING  ,A ,Q,153.65,157.50,152.20,153.05,153.20,153.60,1917,98752,15242831.00,
500023,ASIANHOTNR  ,T ,Q,241.20,241.20,230.10,230.10,230.10,231.00,5,32,7607.00,
500027,ATUL LTD.   ,A ,Q,6706.60,6840.95,6706.60,6781.00,6769.50,6741.80,318,863,5860013.00,
500028,ATV PROJECTS,XT,Q,14.64,14.64,14.64,14.64,14.64,14.93,40,20250,296460.00,
500031,BAJAJ ELECT.,A ,Q,1015.95,1023.55,1011.85,1017.80,1019.60,1008.70,400,3896,3968029.00,
500032,BAJAJHIND   ,A ,Q,33.69,33.75,32.23,32.41,32.41,33.31,6497,2591488,84607837.00,
500033,FORCE MOTR  ,B ,Q,4195.00,4238.40,4080.00,4167.70,4167.70,4177.20,3248,40964,170994703.00,
500034,BAJFINANCE  ,A ,Q,7434.00,7435.00,7322.90,7349.75,7350.00,7404.80,3270,17913,131960406.00,
500038,BALRAM.CHINI,A ,Q,469.05,472.15,461.50,466.05,466.40,468.35,1087,30967,14436578.00,
500039,BANCO PROD. ,B ,Q,552.00,563.00,551.50,552.90,553.65,552.25,1827,28937,16109613.00,
500040,CENTURY TEXT,A ,Q,1332.95,1354.70,1303.00,1332.10,1325.00,1321.30,750,7664,10253824.00,
500041,BANNARI AMAN,B ,Q,2540.00,2549.95,2505.00,2518.00,2518.00,2523.60,19,64,161980.00,
500042,BASF INDIA  ,A ,Q,2960.05,3019.95,2918.90,2999.95,3001.95,2969.75,629,2189,6499552.00,
500043,BATA INDIA  ,A ,Q,1616.05,1656.00,1616.05,1650.05,1648.30,1629.00,529,5429,8910659.00,
500048,BEML LTD    ,A ,Q,2490.20,2490.75,2385.00,2408.50,2419.40,2470.20,2018,18147,44043879.00,
500049,BHARAT ELECT,A ,Q,154.00,155.00,150.00,151.95,151.95,153.55,18598,2039458,310600472.00,
500052,BHANSALI ENG,B ,Q,92.67,93.47,91.44,91.81,91.81,92.67,2568,129950,12004520.00,
500058,BIHAR SPONGE,XT,Q,10.30,10.63,10.00,10.29,10.29,10.30,187,150696,1528187.00,
500059,BINANI IND. ,T ,Q,16.30,16.42,16.10,16.10,16.10,16.10,11,3200,52057.00,
500060,BIRLACABLE  ,B ,Q,269.00,269.00,262.00,263.10,263.40,264.60,678,11475,3030563.00,
500067,BLUE STAR   ,A ,Q,985.15,1026.55,985.15,1020.45,1020.45,991.40,875,10020,10199711.00,
500068,DISA INDIA  ,B ,Q,13820.00,14080.90,13803.00,14010.20,14000.00,14011.65,34,144,2019414.00,
500069,QUESTCAP    ,X ,Q,295.00,295.00,285.00,289.55,290.00,287.45,32,1441,414860.00,
500074,BPL LTD.    ,T ,Q,84.62,84.62,83.00,83.00,83.00,84.62,46,8065,673710.00,
500078,OAL         ,B ,Q,349.65,352.15,345.00,349.70,349.65,348.15,302,1765,616159.00,
500083,CENTURY EXT ,T ,Q,17.75,17.75,16.80,17.04,17.15,17.30,300,54558,933758.00,
500084,CESC LTD.   ,A ,Q,109.96,118.90,108.49,117.07,117.07,108.82,16284,2726224,308931439.00,
500085,CHAMBAL FERT,A ,Q,326.45,328.90,321.30,328.25,328.25,325.10,6178,253346,82572841.00,
500086,EXIDE IND.  ,A ,Q,296.75,296.75,290.30,292.30,292.30,294.00,7201,302691,88577617.00,
500087,CIPLA LTD.  ,A ,Q,1224.70,1227.50,1215.60,1224.10,1224.10,1216.55,3496,56661,69241288.00,
500089,DIC INDIA   ,B ,Q,445.00,461.20,437.25,460.50,460.90,441.10,176,1153,522435.00,
500092,CRISIL LTD  ,A ,Q,4249.95,4278.25,4202.45,4232.75,4247.25,4229.05,187,443,1875145.00,
500093,CGPOWER     ,A ,Q,476.85,476.85,463.05,473.20,473.20,469.35,2582,92969,43603992.00,
500096,DABUR (I)   ,A ,Q,549.85,552.40,547.00,551.90,552.30,547.10,6449,145692,80209615.00,
500097,DALMIASUG   ,B ,Q,462.15,464.35,444.10,449.70,449.70,458.80,1280,21786,9864866.00,
500101,ARVIND Ltd  ,A ,Q,228.30,231.90,221.95,223.40,224.30,225.45,1060,42627,9629846.00,
500103,BHEL        ,A ,Q,174.50,181.65,173.45,176.75,176.75,174.10,25507,3663489,651037903.00,
500104,HIND.PETRO  ,A ,Q,378.50,391.25,374.35,381.30,381.30,376.50,15305,761470,292212084.00,
500106,IFCI LTD    ,A ,Q,28.52,29.50,27.26,27.59,27.59,28.46,14952,12762485,359897376.00,
500108,MAHA.TELE   ,A ,Q,32.53,32.55,30.45,30.90,30.90,32.19,1974,904221,28298013.00,
500109,MRPL        ,A ,Q,126.70,126.80,122.30,124.85,124.85,125.20,3235,432184,53746307.00,
500110,CHENNAI PET.,A ,Q,674.95,688.00,671.55,675.25,679.55,669.55,1611,43323,29420581.00,
500112,STATE BANK  ,A ,Q,594.65,611.35,594.65,608.40,608.40,594.65,15404,951698,576731964.00,
500113,STEEL AUTH. ,A ,Q,94.39,96.80,93.44,95.69,95.69,93.95,13236,3706974,352278045.00,
500114,TITAN       ,A ,Q,3499.70,3550.00,3478.35,3546.30,3545.00,3487.70,2037,61878,218834401.00,
500116,IDBI BANK L ,A ,Q,63.89,64.72,63.50,63.92,63.83,63.31,2184,832917,53368776.00,
500117,DCW LTD.    ,A ,Q,51.99,54.70,51.59,53.46,53.46,51.85,4820,996176,53284302.00,
500119,DHAMPUR SUGA,A ,Q,275.95,275.95,267.20,268.05,268.95,271.35,1497,41059,11063642.00,
500120,DIAMINES&CHM,B ,Q,538.00,538.00,510.00,512.75,515.00,522.85,383,3582,1854807.00,
500123,ELANTAS     ,B ,Q,7834.95,7835.00,7710.05,7737.25,7737.10,7789.80,42,151,1175098.00,
500124,DR.REDDY'S  ,A ,Q,5767.00,5820.35,5742.60,5776.15,5777.65,5749.30,779,4862,28093981.00,
500125,E.I.D.PAR   ,A ,Q,548.45,550.85,538.05,548.45,546.00,543.95,769,21404,11674656.00,
500126,PGHL        ,A ,Q,5199.95,5199.95,5108.95,5133.95,5133.95,5160.45,79,195,1002493.00,
500128,ELEC.CASTING,A ,Q,112.05,113.65,106.55,110.00,110.00,111.95,3399,354903,38915776.00,
500133,ESAB INDIA  ,A ,Q,5889.65,5944.50,5872.00,5896.50,5892.55,5883.90,177,332,1957627.00,
500135,EPL         ,A ,Q,197.25,198.95,196.60,198.10,198.15,197.80,560,23125,4569189.00,
500136,ESTER INDUS.,B ,Q,92.80,93.50,89.65,90.02,90.40,89.38,491,32867,3003107.00,
500142,FGP LTD.    ,X ,Q,6.40,6.40,6.03,6.06,6.04,6.27,27,8738,53235.00,
500143,P.H.CAPITAL ,X ,Q,93.40,93.49,90.50,90.62,90.62,92.24,31,2671,245828.00,
500144,FINOL. CABLE,A ,Q,1034.95,1052.00,1012.90,1042.90,1038.00,1018.05,3751,85377,88133795.00,
500147,COCKERILL   ,B ,Q,2998.50,3029.95,2962.00,3018.15,3024.90,2985.70,212,2110,6320559.00,
500148,UFLEX LTD   ,A ,Q,465.00,465.00,455.00,455.50,455.35,456.75,241,2596,1190198.00,
500150,FOSECO INDIA,B ,Q,3520.00,3568.25,3472.50,3556.85,3566.00,3519.25,88,246,862034.00,
500151,GOLDEN TOB  ,Z ,Q,51.06,52.92,51.05,52.18,51.99,51.80,36,2265,116574.00,
500153,GANESH BENZO,B ,Q,164.95,170.45,164.05,169.55,169.95,163.80,1393,99457,16738443.00,
500159,METROGLOBL  ,X ,Q,105.65,106.00,104.00,104.15,104.95,105.65,74,3483,366175.00,
500160,GTL LTD.    ,T ,Q,7.59,7.74,7.59,7.74,7.74,7.59,125,98144,750821.00,
500163,GODFREY PH  ,A ,Q,2110.00,2127.00,2100.05,2122.80,2117.75,2098.15,334,1386,2934651.00,
500164,GODREJ IND  ,A ,Q,653.95,654.25,642.40,644.35,643.00,648.15,1271,18715,12122585.00,
500165,KANSAI NERO ,A ,Q,319.00,323.60,317.95,322.85,322.85,319.30,578,9490,3044560.00,
500166,GOODRICKE   ,X ,Q,192.50,192.70,187.00,189.00,188.70,190.45,279,15054,2855201.00,
500168,GOODYEAR (I),B ,Q,1330.00,1330.00,1315.00,1321.60,1324.95,1313.15,826,10306,13623205.00,
500170,GTN INDUS   ,X ,Q,36.19,36.90,35.80,36.75,36.75,36.61,58,9703,355782.00,
500171,GHCL LTD    ,A ,Q,561.00,561.00,549.15,553.35,557.00,558.35,612,7325,4057661.00,
500173,GFLLIMITED  ,B ,Q,102.00,108.25,98.85,103.84,103.99,98.98,3647,95978,10042164.00,
500174,GUJ.LEASE   ,B ,Q,3.90,3.90,3.90,3.90,3.90,4.10,6,2059,8030.00,
500179,HCL INFOSYS ,B ,Q,17.40,17.45,17.21,17.26,17.28,17.35,1059,236525,4095391.00,
500180,HDFC BANK   ,A ,Q,1622.00,1636.50,1617.00,1623.45,1623.45,1609.05,9575,482076,783800505.00,
500182,HEROMOTOCO  ,A ,Q,3801.00,3827.05,3779.60,3805.55,3817.00,3795.60,3617,55290,209669688.00,
