SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4190.00,4225.00,4147.25,4205.55,4219.00,4166.00,756,2974,12445522.00,
500003,AEGIS LOGIS ,A ,Q,287.95,300.20,286.05,294.35,294.35,282.95,3581,148496,44013320.00,
500008,ARE&M       ,A ,Q,622.05,632.70,622.00,628.25,627.85,621.00,930,11433,7148121.00,
500009,A.SARABHAI  ,XT,Q,37.23,37.23,36.49,36.51,36.51,37.23,129,63035,2309839.00,
500012,ANDHRA PETRO,X ,Q,82.00,82.75,81.06,82.18,82.55,80.51,433,85662,7005474.00,
500013,ANSAL INFRAS,Z ,Q,11.67,11.67,11.67,11.67,11.67,12.28,13,7851,91621.00,
500014,UTIQUE      ,X ,Q,6.47,6.47,5.72,6.02,6.00,6.17,299,170752,1017970.00,
500016,ARUNAHTEL   ,X ,Q,15.36,15.36,14.50,14.61,14.61,14.77,111,24567,362639.00,
500020,BOM DYEING  ,A ,Q,158.65,161.00,155.80,159.35,159.35,156.65,3365,512011,80874622.00,
500023,ASIANHOTNR  ,B ,Q,203.00,203.00,183.70,202.80,202.80,193.35,389,71571,14505800.00,
500027,ATUL LTD.   ,A ,Q,6431.05,6725.00,6431.05,6701.25,6689.00,6450.50,1295,4095,27182802.00,
500028,ATV PROJECTS,XT,Q,12.25,12.49,12.02,12.02,12.02,12.25,43,16546,202633.00,
500031,BAJAJ ELECT.,A ,Q,1060.80,1063.50,1001.00,1055.40,1063.50,1041.90,890,8221,8490538.00,
500032,BAJAJHIND   ,A ,Q,30.49,34.88,30.06,33.98,33.98,29.26,31761,19376573,633456068.00,
500033,FORCE MOTR  ,B ,Q,3638.80,3750.00,3613.15,3740.85,3740.85,3587.00,1997,19928,74043110.00,
500034,BAJFINANCE  ,A ,Q,7467.95,7573.00,7447.30,7560.05,7560.05,7420.20,3770,24117,181180087.00,
500038,BALRAM.CHINI,A ,Q,420.20,435.00,420.20,430.25,430.25,421.45,1237,43763,18803105.00,
500039,BANCO PROD. ,B ,Q,471.55,484.70,460.00,469.40,477.95,462.30,6863,119177,55939579.00,
500040,CENTURY TEXT,A ,Q,1075.05,1099.00,1075.05,1095.65,1096.00,1071.50,150,2987,3253265.00,
500041,BANNARI AMAN,B ,Q,2573.05,2621.25,2521.60,2577.15,2568.50,2548.35,100,613,1581580.00,
500042,BASF INDIA  ,A ,Q,2560.40,2585.00,2549.25,2572.25,2583.80,2549.50,44,186,477838.00,
500043,BATA INDIA  ,A ,Q,1593.25,1593.25,1544.85,1559.95,1558.60,1575.80,808,6250,9735197.00,
500048,BEML LTD    ,A ,Q,2059.20,2084.25,2025.65,2039.95,2042.00,2059.20,390,3248,6686019.00,
500049,BHARAT ELECT,A ,Q,136.80,137.90,135.95,137.60,137.60,135.90,3436,243063,33271905.00,
500052,BHANSALI ENG,B ,Q,87.74,89.40,87.74,88.00,88.06,87.73,718,30221,2667384.00,
500058,BIHAR SPONGE,XT,Q,9.86,10.12,9.46,9.78,9.78,9.90,167,51432,508439.00,
500059,BINANI IND. ,T ,Q,14.26,14.87,14.26,14.38,14.37,14.55,13,976,14094.00,
500060,BIRLACABLE  ,B ,Q,278.25,284.90,277.00,278.80,280.00,277.80,1148,28127,7924642.00,
500067,BLUE STAR   ,A ,Q,989.85,992.00,952.85,967.55,968.45,972.00,1685,22110,21407466.00,
500068,DISA INDIA  ,B ,Q,13299.95,13400.00,13160.00,13388.20,13399.00,13279.35,27,174,2316601.00,
500069,QUESTCAP    ,X ,Q,265.35,277.00,265.35,275.10,275.10,273.75,18,355,98089.00,
500074,BPL LTD.    ,T ,Q,82.60,84.00,81.65,83.52,83.95,82.43,210,28402,2366992.00,
500078,OAL         ,B ,Q,333.05,364.00,333.05,350.90,354.40,339.00,154,583,205586.00,
500083,CENTURY EXT ,T ,Q,15.88,16.62,15.88,16.55,16.62,15.88,264,67229,1101044.00,
500084,CESC LTD.   ,A ,Q,87.84,87.84,86.60,86.81,86.60,86.12,565,58432,5083671.00,
500085,CHAMBAL FERT,A ,Q,287.95,293.50,287.95,290.35,290.40,286.80,1634,89453,26034333.00,
500086,EXIDE IND.  ,A ,Q,257.05,269.15,257.05,267.40,267.40,256.05,2691,211227,55475153.00,
500087,CIPLA LTD.  ,A ,Q,1206.40,1216.60,1198.00,1204.05,1204.05,1206.15,1122,90599,109070290.00,
500089,DIC INDIA   ,B ,Q,425.00,440.00,424.30,440.00,440.00,417.40,14,47,20236.00,
500092,CRISIL LTD  ,A ,Q,4213.00,4401.15,4196.85,4386.30,4369.00,4196.95,646,2084,8977327.00,
500093,CGPOWER     ,A ,Q,375.35,384.50,371.35,376.35,377.10,380.30,2733,173058,64841314.00,
500096,DABUR (I)   ,A ,Q,535.10,539.50,533.50,537.70,537.40,535.05,675,18521,9954434.00,
500097,DALMIASUG   ,B ,Q,448.05,471.00,448.05,467.35,467.35,453.05,1618,20889,9660690.00,
500101,ARVIND Ltd  ,A ,Q,206.35,208.45,198.60,204.15,204.15,205.30,1719,149646,30276024.00,
500103,BHEL        ,A ,Q,129.15,131.15,127.65,130.00,130.00,128.55,6104,769991,99972402.00,
500104,HIND.PETRO  ,A ,Q,259.05,264.85,258.70,262.05,262.05,257.55,3234,250568,65526245.00,
500106,IFCI LTD    ,A ,Q,23.97,24.14,23.05,23.50,23.50,23.62,6635,6938773,163468587.00,
500108,MAHA.TELE   ,A ,Q,28.86,29.55,28.20,28.71,28.69,28.12,789,477251,13769227.00,
500109,MRPL        ,A ,Q,110.95,112.30,108.35,109.00,109.00,109.70,3419,458082,50693105.00,
500110,CHENNAI PET.,A ,Q,603.85,608.00,576.95,579.45,579.45,592.75,4260,150115,88553772.00,
500111,REL.CAP.    ,T ,Q,10.84,10.84,10.84,10.84,10.84,10.33,276,480750,5211330.00,
500112,STATE BANK  ,A ,Q,583.00,583.00,573.20,574.40,574.40,578.15,34323,1882539,1083592744.00,
500113,STEEL AUTH. ,A ,Q,85.61,87.35,85.25,86.84,86.84,84.54,2251,547330,47131550.00,
500114,TITAN       ,A ,Q,3338.00,3338.00,3247.25,3266.45,3266.45,3272.55,2258,23783,77859502.00,
500116,IDBI BANK L ,A ,Q,62.31,62.91,61.94,62.30,62.30,62.11,2443,451893,28182058.00,
500117,DCW LTD.    ,A ,Q,56.09,56.47,55.15,55.32,55.30,55.25,988,140012,7810307.00,
500119,DHAMPUR SUGA,A ,Q,263.05,270.05,260.55,265.65,265.15,257.85,788,23754,6295145.00,
500120,DIAMINES&CHM,B ,Q,486.30,501.70,486.30,500.05,500.50,485.90,142,1250,620734.00,
500123,ELANTAS     ,B ,Q,7891.00,7891.00,7660.10,7731.40,7799.85,7801.40,66,241,1867927.00,
500124,DR.REDDY'S  ,A ,Q,5304.30,5349.50,5288.60,5339.00,5347.95,5261.05,736,4947,26289752.00,
500125,E.I.D.PAR   ,A ,Q,483.00,483.00,476.45,479.00,478.00,478.40,476,11015,5274371.00,
