SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4218.90,4232.00,4172.20,4210.15,4206.10,4205.55,1016,5333,22416740.00,
500003,AEGIS LOGIS ,A ,Q,297.10,297.10,290.60,294.10,294.80,294.35,1891,46392,13639306.00,
500008,ARE&M       ,A ,Q,629.05,635.00,628.00,631.45,630.80,628.25,908,13696,8647241.00,
500009,A.SARABHAI  ,XT,Q,37.24,37.24,37.24,37.24,37.24,36.51,111,44060,1640794.00,
500012,ANDHRA PETRO,X ,Q,83.00,88.25,83.00,87.41,87.41,82.18,2065,662267,56737730.00,
500014,UTIQUE      ,X ,Q,5.93,6.14,5.93,6.08,6.05,6.02,139,51959,315887.00,
500016,ARUNAHTEL   ,X ,Q,14.99,15.08,14.66,14.95,14.95,14.61,66,10414,155027.00,
500020,BOM DYEING  ,A ,Q,158.75,162.95,157.00,160.15,160.15,159.35,3788,648408,104222519.00,
500023,ASIANHOTNR  ,B ,Q,212.70,212.90,212.70,212.90,212.90,202.80,33,5800,1234340.00,
500027,ATUL LTD.   ,A ,Q,6700.10,6722.10,6474.45,6516.55,6533.00,6701.25,1296,3662,24119388.00,
500028,ATV PROJECTS,XT,Q,12.26,12.26,12.26,12.26,12.26,12.02,20,10862,133168.00,
500031,BAJAJ ELECT.,A ,Q,1055.35,1055.35,1018.00,1018.95,1018.95,1055.40,1183,6809,6986912.00,
500032,BAJAJHIND   ,A ,Q,34.66,35.10,33.43,34.23,34.23,33.98,8809,5308290,181328246.00,
500033,FORCE MOTR  ,B ,Q,3763.15,3899.00,3760.05,3840.05,3840.05,3740.85,3007,34376,131795776.00,
500034,BAJFINANCE  ,A ,Q,7615.00,7635.00,7446.70,7498.75,7498.75,7560.05,4963,28279,212854476.00,
500038,BALRAM.CHINI,A ,Q,432.10,434.40,427.25,432.10,432.10,430.25,2230,93197,40151525.00,
500039,BANCO PROD. ,B ,Q,485.25,494.80,477.40,484.35,484.35,469.40,3845,70770,34118331.00,
500040,CENTURY TEXT,A ,Q,1094.40,1145.00,1088.70,1135.95,1135.95,1095.65,1456,19291,21532134.00,
500041,BANNARI AMAN,B ,Q,2553.40,2601.95,2549.85,2601.95,2601.95,2577.15,21,54,138558.00,
500042,BASF INDIA  ,A ,Q,2584.95,2649.15,2559.85,2640.30,2639.30,2572.25,116,451,1182179.00,
